Bagel Type,Options,Cream Cheese/Avacado,Price($) per item,Total price($) including tax,Calories
Plain,Toasted or Not toasted or Extra toasted,Plain Cream Cheese,3.99,4.23,400
Asiago,Toasted or Not toasted or Extra toasted,Plain Cream Cheese,3.99,4.23,400
Honey whole wheat,Toasted or Not toasted or Extra toasted,Plain Cream Cheese,3.99,4.23,400
cinnamon,Toasted or Not toasted or Extra toasted,Plain Cream Cheese,3.99,4.23,400
wild blueberry,Toasted or Not toasted or Extra toasted,Plain Cream Cheese,3.99,4.23,400
chocolate,Toasted or Not toasted or Extra toasted,Plain Cream Cheese,3.99,4.23,400
everything,Toasted or Not toasted or Extra toasted,Plain Cream Cheese,3.99,4.23,400
sesame,Toasted or Not toasted or Extra toasted,Plain Cream Cheese,3.99,4.23,400
Plain,Toasted or Not toasted or Extra toasted,Onion Chive,3.99,4.23,400
Asiago,Toasted or Not toasted or Extra toasted,Onion Chive,3.99,4.23,400
Honey whole wheat,Toasted or Not toasted or Extra toasted,Onion Chive,3.99,4.23,400
cinnamon,Toasted or Not toasted or Extra toasted,Onion Chive,3.99,4.23,400
wild blueberry,Toasted or Not toasted or Extra toasted,Onion Chive,3.99,4.23,400
chocolate,Toasted or Not toasted or Extra toasted,Onion Chive,3.99,4.23,400
everything,Toasted or Not toasted or Extra toasted,Onion Chive,3.99,4.23,400
sesame,Toasted or Not toasted or Extra toasted,Onion Chive,3.99,4.23,400
Plain,Toasted or Not toasted or Extra toasted,Jalapeno Cream Cheese,3.99,4.23,400
Asiago,Toasted or Not toasted or Extra toasted,Jalapeno Cream Cheese,3.99,4.23,400
Honey whole wheat,Toasted or Not toasted or Extra toasted,Jalapeno Cream Cheese,3.99,4.23,400
cinnamon,Toasted or Not toasted or Extra toasted,Jalapeno Cream Cheese,3.99,4.23,400
wild blueberry,Toasted or Not toasted or Extra toasted,Jalapeno Cream Cheese,3.99,4.23,400
chocolate,Toasted or Not toasted or Extra toasted,Jalapeno Cream Cheese,3.99,4.23,400
everything,Toasted or Not toasted or Extra toasted,Jalapeno Cream Cheese,3.99,4.23,400
sesame,Toasted or Not toasted or Extra toasted,Jalapeno Cream Cheese,3.99,4.23,400
Plain,Toasted or Not toasted or Extra toasted,Veggie Cream Cheese,3.99,4.23,400
Asiago,Toasted or Not toasted or Extra toasted,Veggie Cream Cheese,3.99,4.23,400
Honey whole wheat,Toasted or Not toasted or Extra toasted,Veggie Cream Cheese,3.99,4.23,400
cinnamon,Toasted or Not toasted or Extra toasted,Veggie Cream Cheese,3.99,4.23,400
wild blueberry,Toasted or Not toasted or Extra toasted,Veggie Cream Cheese,3.99,4.23,400
chocolate,Toasted or Not toasted or Extra toasted,Veggie Cream Cheese,3.99,4.23,400
everything,Toasted or Not toasted or Extra toasted,Veggie Cream Cheese,3.99,4.23,400
sesame,Toasted or Not toasted or Extra toasted,Veggie Cream Cheese,3.99,4.23,400
Plain,Toasted or Not toasted or Extra toasted,Honey Almond Cream Cheese,3.99,4.23,400
Asiago,Toasted or Not toasted or Extra toasted,Honey Almond Cream Cheese,3.99,4.23,400
Honey whole wheat,Toasted or Not toasted or Extra toasted,Honey Almond Cream Cheese,3.99,4.23,400
cinnamon,Toasted or Not toasted or Extra toasted,Honey Almond Cream Cheese,3.99,4.23,400
wild blueberry,Toasted or Not toasted or Extra toasted,Honey Almond Cream Cheese,3.99,4.23,400
chocolate,Toasted or Not toasted or Extra toasted,Honey Almond Cream Cheese,3.99,4.23,400
everything,Toasted or Not toasted or Extra toasted,Honey Almond Cream Cheese,3.99,4.23,400
sesame,Toasted or Not toasted or Extra toasted,Honey Almond Cream Cheese,3.99,4.23,400
Plain,Toasted or Not toasted or Extra toasted,Strawberry Cream Cheese,3.99,4.23,400
Asiago,Toasted or Not toasted or Extra toasted,Strawberry Cream Cheese,3.99,4.23,400
Honey whole wheat,Toasted or Not toasted or Extra toasted,Strawberry Cream Cheese,3.99,4.23,400
cinnamon,Toasted or Not toasted or Extra toasted,Strawberry Cream Cheese,3.99,4.23,400
wild blueberry,Toasted or Not toasted or Extra toasted,Strawberry Cream Cheese,3.99,4.23,400
