Add on type,Price($) per item,Total price($) including tax,Calories
Ciabatta bagel (Gourmet upgrade),0.70,0.74,70
Add Egg,1.29,1.37,90
Add Egg white,1.39,1.47,30
Add Almond milk,0.99,1.05,40
Add expresso shot,0.99,1.05,3
Add soy milk,0.99,1.05,16
Add syrup,0.99,1.05,40
Add whip cream,0.99,1.05,20
Dasani water 16.9oz,1.68,1.78,0
Add Avacado,1.49,1.58,50
Add cheese 0.5oz(American cheese/cheddar cheese/swiss cheese),0.89,0.94,100
Add cream cheese(plain/jalapeno/honey almond/strawberry/onion chive/veggie),1.99,2.11,120
Add Meat(Chicken/Bacon/ Ham/Turkey sausage/Turkey),2.19,2.32,80
Add 2nd veg(onion/tomato/spinach/lettuce/cucumber/jalapenos),0.99,1.05,15
Add sauce(chipotle mayo/tomato shmear),0.99,1.05,5
