Meal Period,Category,Item Name,Portion,Description,Calories,Ingredients,Nutrients,Filters
Lunch,Blue Plate,Beef Meatloaf with Tomato Glaze,4 ounce,Sweet and tangy tomato glazed homestyle beef meatloaf,290,"Beef, Tomato puree (tomato puree, water, tomato paste, citric acid), Brown Sugar (sugar, cane syrups), Gluten Free Oats, Cider Vinegar (apple juice, water), Salt, Garlic, Granulated Onion, Mustard, Italian Seasoning, Black Pepper","Calories: 290 kcal, Protein (g): 23 g, Total Carbohydrates (g): 14 g, Sugar (g): 8+ g, Total Fat (g): 16 g, Saturated Fat (g): 6 g, Cholesterol (mg): 75 mg, Dietary Fiber (g): 1 g, Sodium (mg): 480 mg, Potassium (mg): 400+ mg, Calcium (mg): 40 mg, Iron (mg): 3 mg, Trans Fat (g): 0.5+ g, Vitamin D (IU): 0+ IU, Vitamin C (mg): 2 mg, Calories From Fat: 140 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 5+ g","Onion, Tomato, Beef, Garlic, Mustard, Avoiding Gluten, Good Source of Protein"
Lunch,Blue Plate,Beyond Meatloaf,3-1/2 oz meat,Glazed rosemary beyond meatloaf,250,"Meatless Beef Crumbles, Onions, Soy Milk, Tomato paste (tomato paste, citric acid), Soy Sauce, Brown Sugar (sugar, cane syrups), Panko Bread Crumbs, Dark Molasses (molasses, potassium sorbate), Dijon Mustard, Cider Vinegar (apple juice, water), Garlic, Salt, Thyme, Rosemary, Black Pepper","Calories: 250 kcal, Protein (g): 26 g, Total Carbohydrates (g): 24 g, Sugar (g): 13+ g, Total Fat (g): 5 g, Saturated Fat (g): 0+ g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 3 g, Sodium (mg): 1010 mg, Potassium (mg): 740 mg, Calcium (mg): 150 mg, Iron (mg): 8.2 mg, Trans Fat (g): - g, Vitamin D (IU): 10 IU, Vitamin C (mg): 9+ mg, Calories From Fat: 45 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 0+ g","Gluten, Wheat, MSG*, Soy, Vegetarian, Onion, Tomato, Vegan, Garlic, Tree Nuts*, Celery*, Mustard, Alcohol, Lupin*, Good Source of Protein"
Lunch,Blue Plate,Mashed Potatoes,3/4 cup,"Creamy mashed potatoes with butter,shallots, and garlic",260,"Potatoes, Half & Half, Unsalted Butter, Olive Oil, Parsley, Shallots, Garlic, Salt, White Pepper","Calories: 260 kcal, Protein (g): 4 g, Total Carbohydrates (g): 36 g, Sugar (g): 3+ g, Total Fat (g): 12 g, Saturated Fat (g): 5 g, Cholesterol (mg): 20 mg, Dietary Fiber (g): 3 g, Sodium (mg): 260 mg, Potassium (mg): 600 mg, Calcium (mg): 40 mg, Iron (mg): 0.7 mg, Trans Fat (g): - g, Vitamin D (IU): 0 IU, Vitamin C (mg): 14 mg, Calories From Fat: 100 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 5+ g","Milk, Vegetarian, Onion, Garlic, How Good Friendly, Avoiding Gluten"
Lunch,Blue Plate,Roasted Zucchini and Yellow Squash,4 ounce,Roasted Zucchini and Yellow Squash,40,"Squash, Zucchini, Canola Oil, Mediterranean Seasoning","Calories: 40 kcal, Protein (g): 1 g, Total Carbohydrates (g): 5 g, Sugar (g): 3 g, Total Fat (g): 2.5 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 1 g, Sodium (mg): 75 mg, Potassium (mg): 280 mg, Calcium (mg): 30 mg, Iron (mg): 0.7 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): 20+ mg, Calories From Fat: 20 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 0 g","MSG*, Vegetarian, Onion, Tomato, Garlic, Mustard*, Egg*, Milk*, Soy*, Gluten*, Wheat*, Celery, Sulphites*"
Lunch,Deli,Sliced Deli Roast Beef,1 ounce,Sliced Deli Roast Beef,30,Beef,"Calories: 30 kcal, Protein (g): 5 g, Total Carbohydrates (g): 0 g, Sugar (g): 0 g, Total Fat (g): 1 g, Saturated Fat (g): 0.5 g, Cholesterol (mg): 20 mg, Dietary Fiber (g): 0 g, Sodium (mg): 190 mg, Potassium (mg): 50 mg, Calcium (mg): 0 mg, Iron (mg): 0.5 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): - mg, Calories From Fat: 10 kcal, Vitamin A (RE): 0 RE, Saturated Fat + Trans Fat (g): 0 g","Onion, Beef, Garlic, Mustard*, Celery*, Avoiding Gluten"
Lunch,Deli,Thinly Sliced Deli Turkey Breast,1 ounce,Thinly Sliced Deli Turkey Breast,30,Turkey,"Calories: 30 kcal, Protein (g): 4 g, Total Carbohydrates (g): less than 1 gram g, Sugar (g): 0 g, Total Fat (g): 1 g, Saturated Fat (g): 0 g, Cholesterol (mg): 15 mg, Dietary Fiber (g): 0 g, Sodium (mg): 260 mg, Potassium (mg): 40 mg, Calcium (mg): 0 mg, Iron (mg): 0.2 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): 0 mg, Calories From Fat: 10 kcal, Vitamin A (RE): 0 RE, Saturated Fat + Trans Fat (g): 0 g","Poultry, Avoiding Gluten"
Lunch,Deli,Sliced Black Forest Ham,1 ounce,Sliced Black Forest Ham,45,Ham,"Calories: 45 kcal, Protein (g): 5 g, Total Carbohydrates (g): 1 g, Sugar (g): 0 g, Total Fat (g): 2.5 g, Saturated Fat (g): 0 g, Cholesterol (mg): 15 mg, Dietary Fiber (g): 0 g, Sodium (mg): 230 mg, Potassium (mg): 80 mg, Calcium (mg): 10 mg, Iron (mg): 0.3 mg, Trans Fat (g): - g, Vitamin D (IU): 10 IU, Vitamin C (mg): 1 mg, Calories From Fat: 20 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 0+ g","Pork, Gluten*"
Lunch,Deli,Sliced American Swiss Cheese,1 ounce,Sliced American Swiss Cheese,100,Swiss American Cheese,"Calories: 100 kcal, Protein (g): 5 g, Total Carbohydrates (g): 1 g, Sugar (g): less than 1 gram g, Total Fat (g): 9 g, Saturated Fat (g): 5 g, Cholesterol (mg): 30 mg, Dietary Fiber (g): 0 g, Sodium (mg): 470 mg, Potassium (mg): 40 mg, Calcium (mg): 300 mg, Iron (mg): 0.2 mg, Trans Fat (g): 0 g, Vitamin D (IU): 90 IU, Vitamin C (mg): 0 mg, Calories From Fat: 80 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 5 g","Milk, Vegetarian, Avoiding Gluten"
Lunch,Deli,Sliced American Cheese,1/2 ounce,Sliced American Cheese,50,American Cheese,"Calories: 50 kcal, Protein (g): 3 g, Total Carbohydrates (g): less than 1 gram g, Sugar (g): 0 g, Total Fat (g): 4.5 g, Saturated Fat (g): 2.5 g, Cholesterol (mg): 15 mg, Dietary Fiber (g): 0 g, Sodium (mg): 240 mg, Potassium (mg): 20 mg, Calcium (mg): 150 mg, Iron (mg): 0.1 mg, Trans Fat (g): 0 g, Vitamin D (IU): 45 IU, Vitamin C (mg): 0 mg, Calories From Fat: 40 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 5 g","Beef*, Milk, Pork*, Avoiding Gluten"
Lunch,Deli,Sliced Provolone Cheese,1 ounce,Sliced Provolone Cheese,100,Provolone Cheese,"Calories: 100 kcal, Protein (g): 7 g, Total Carbohydrates (g): less than 1 gram g, Sugar (g): 0 g, Total Fat (g): 8 g, Saturated Fat (g): 5 g, Cholesterol (mg): 20 mg, Dietary Fiber (g): 0 g, Sodium (mg): 210 mg, Potassium (mg): 40 mg, Calcium (mg): 210 mg, Iron (mg): 0.1 mg, Trans Fat (g): - g, Vitamin D (IU): 5 IU, Vitamin C (mg): 0 mg, Calories From Fat: 70 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 5+ g","Milk, Vegetarian, Avoiding Gluten, Good Source of Protein"
Lunch,Deli,Sliced Tomatoes,1 slice,Sliced Tomatoes,0,Tomatoes,"Calories: 0 kcal, Protein (g): 0 g, Total Carbohydrates (g): less than 1 gram g, Sugar (g): 0 g, Total Fat (g): 0 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 0 g, Sodium (mg): 0 mg, Potassium (mg): 30 mg, Calcium (mg): 0 mg, Iron (mg): 0 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): 2 mg, Calories From Fat: 0 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 0 g","Vegetarian, Tomato, Vegan, Avoiding Gluten"
Lunch,Deli,Baby Spinach,1/4 cup,Baby Spinach,0,Spinach,"Calories: 0 kcal, Protein (g): 0 g, Total Carbohydrates (g): 0 g, Sugar (g): 0 g, Total Fat (g): 0 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 0 g, Sodium (mg): 5 mg, Potassium (mg): 40 mg, Calcium (mg): 10 mg, Iron (mg): 0.2 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): 2 mg, Calories From Fat: 0 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 0 g","Vegetarian, Vegan, How Good Friendly, Avoiding Gluten"
Lunch,Deli,Sliced Red Onion,1/4 cup,Sliced Red Onion,10,Onions,"Calories: 10 kcal, Protein (g): 0 g, Total Carbohydrates (g): 3 g, Sugar (g): 1 g, Total Fat (g): 0 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 0 g, Sodium (mg): 0 mg, Potassium (mg): 40 mg, Calcium (mg): 10 mg, Iron (mg): 0.1 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): 2 mg, Calories From Fat: 0 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 0 g","Vegetarian, Onion, Vegan, Avoiding Gluten"
Lunch,Deli,Spicy Brown Mustard,1 tbsp,Spicy Brown Mustard,10,Spicy Brown Mustard,"Calories: 10 kcal, Protein (g): less than 1 gram g, Total Carbohydrates (g): less than 1 gram g, Sugar (g): 0 g, Total Fat (g): 0.5 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): less than 1 gram g, Sodium (mg): 170 mg, Potassium (mg): 20 mg, Calcium (mg): 10 mg, Iron (mg): 0.2 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): 0 mg, Calories From Fat: 0 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 0 g","Vegetarian, Vegan, Mustard, Avoiding Gluten"
Lunch,Deli,Yellow Mustard,1 tbsp,Yellow Mustard,10,Yellow Mustard,"Calories: 10 kcal, Protein (g): less than 1 gram g, Total Carbohydrates (g): less than 1 gram g, Sugar (g): 0 g, Total Fat (g): 0.5 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): less than 1 gram g, Sodium (mg): 170 mg, Potassium (mg): 20 mg, Calcium (mg): 10 mg, Iron (mg): 0.3 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): 0 mg, Calories From Fat: 0 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 0 g","Vegetarian, Vegan, Garlic, Mustard, Avoiding Gluten"
Lunch,Deli,Mayonnaise,1 tbsp,Mayonnaise,90,Mayonnaise,"Calories: 90 kcal, Protein (g): 0 g, Total Carbohydrates (g): 0 g, Sugar (g): 0 g, Total Fat (g): 10 g, Saturated Fat (g): 1.5 g, Cholesterol (mg): 5 mg, Dietary Fiber (g): 0 g, Sodium (mg): 75 mg, Potassium (mg): 0 mg, Calcium (mg): 0 mg, Iron (mg): 0 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): 0 mg, Calories From Fat: 90 kcal, Vitamin A (RE): 0 RE, Saturated Fat + Trans Fat (g): 0 g","Egg, Vegetarian, Onion, Mustard, Gluten*"
