Meal Period,Category,Item Name,Portion,Description,Calories,Ingredients,Nutrients,Filters
Every Day,Classic Egg Sandwiches,Applewood Bacon & Cheddar,6.1 oz,Served with your choice of one egg or two (adds 90 Cal) on a plain bagel,450,N/A,"Calories: 450.0 , Fat Calories: 130.0 , Total Fat: 15.0 , Saturated Fat: 6.0 , Trans Fat: 0.0 , Cholesterol: 210.0 , Sodium: None , Potassium: None , Total Carbohydrates: 57.0 , Dietary Fiber: 2.0 , Sugars: 6.0 , Protein: 22.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 250.0 , Iron: 4.5 ",
Every Day,Classic Egg Sandwiches,Turkey Sausage & Cheddar,7.2oz,Served with your choice of one egg or two (adds 90 Cal) on a plain bagel,480,N/A,"Calories: 480.0 , Fat Calories: 140.0 , Total Fat: 15.0 , Saturated Fat: 7.0 , Trans Fat: None , Cholesterol: 225.0 , Sodium: None , Potassium: None , Total Carbohydrates: 58.0 , Dietary Fiber: 2.0 , Sugars: 6.0 , Protein: 26.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 250.0 , Iron: 5.4 ",
Every Day,Classic Egg Sandwiches,Ham & Swiss,7.3oz,Served with your choice of one egg or two (adds 90 Cal) on a plain bagel,450,N/A,"Calories: 450.0 , Fat Calories: 110.0 , Total Fat: 12.0 , Saturated Fat: 5.0 , Trans Fat: None , Cholesterol: 225.0 , Sodium: None , Potassium: None , Total Carbohydrates: 57.0 , Dietary Fiber: 2.0 , Sugars: 6.0 , Protein: 28.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 250.0 , Iron: 5.4 ",
Every Day,Classic Egg Sandwiches,Egg (White Only),2oz,Egg White,30,N/A,"Calories: 30.0 , Fat Calories: 0.0 , Total Fat: 0.0 , Saturated Fat: 0.0 , Trans Fat: None , Cholesterol: 0.0 , Sodium: None , Potassium: None , Total Carbohydrates: 1.0 , Dietary Fiber: 0.0 , Sugars: 0.0 , Protein: 6.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 0.0 , Iron: 0.0 ",
Every Day,Classic Egg Sandwiches,Cheddar Cheese,5.8 oz,Served with your choice of one egg or two (adds 90 Cal) on a plain bagel,410,N/A,"Calories: 410.0 , Fat Calories: 100.0 , Total Fat: 11.0 , Saturated Fat: 5.0 , Trans Fat: 0.0 , Cholesterol: 200.0 , Sodium: None , Potassium: None , Total Carbohydrates: 57.0 , Dietary Fiber: 2.0 , Sugars: 6.0 , Protein: 19.0 , Vitamin A: None , Vitamin C: None , Calcium: None , Iron: None ",
Every Day,Signature Sandwiches,Nova Lox & Bagel,9oz,"Nova Lox, Red Onion, Capers, Tomato with Plain Shmear on a Plan Bagel",480,N/A,"Calories: 480.0 , Fat Calories: 150.0 , Total Fat: 17.0 , Saturated Fat: 9.0 , Trans Fat: None , Cholesterol: 50.0 , Sodium: None , Potassium: None , Total Carbohydrates: 61.0 , Dietary Fiber: 2.0 , Sugars: 9.0 , Protein: 22.0 , Vitamin A: None , Vitamin C: 6.0 , Calcium: 40.0 , Iron: 3.6 ",
Every Day,Signature Sandwiches,Hummus Veg Out on Sesame,10oz,"Hummus, Tomato, Red Onion, Spinach, Arugula, Roasted Red Peppers, Cucumber with Garden Veggie Shmear on a Sesame Seed Bagel",410,N/A,"Calories: 410.0 , Fat Calories: 110.0 , Total Fat: 12.0 , Saturated Fat: 4.0 , Trans Fat: 0.0 , Cholesterol: 15.0 , Sodium: None , Potassium: None , Total Carbohydrates: 67.0 , Dietary Fiber: 5.0 , Sugars: 10.0 , Protein: 15.0 , Vitamin A: None , Vitamin C: 15.0 , Calcium: 80.0 , Iron: 4.5 ",
Every Day,Signature Sandwiches,Turkey & Cheddar,11.3oz,"Roasted Turkey, Lettuce, Tomato, Red Onion, Cheddar Cheese with Mayo & Deli Mustard on a Fresh-Baked Potato Roll",660,N/A,"Calories: 660.0 , Fat Calories: 270.0 , Total Fat: 29.0 , Saturated Fat: 7.0 , Trans Fat: 0.5 , Cholesterol: 70.0 , Sodium: None , Potassium: None , Total Carbohydrates: 61.0 , Dietary Fiber: 3.0 , Sugars: 12.0 , Protein: 34.0 , Vitamin A: None , Vitamin C: 6.0 , Calcium: 300.0 , Iron: 3.6 ",
Every Day,Signature Sandwiches,Harvest Chicken Salad on Multigrain,6oz,"Grilled Chicken Breast, Celery, Lettuce, Tomato, Red Onion, Craisins® Dried Cranberries, Toasted Almonds with Mayo on a muiltigrain bagel",620,N/A,"Calories: 620.0 , Fat Calories: 230.0 , Total Fat: 26.0 , Saturated Fat: 4.0 , Trans Fat: 0.0 , Cholesterol: 60.0 , Sodium: None , Potassium: None , Total Carbohydrates: 66.0 , Dietary Fiber: 11.0 , Sugars: 15.0 , Protein: 34.0 , Vitamin A: None , Vitamin C: 6.0 , Calcium: 60.0 , Iron: 2.7 ",
Every Day,Signature Sandwiches,Hummus Veg Out on Multigrain,10.5oz,"Hummus, Tomato, Red Onion, Spinach, Arugula, Roasted Red Peppers, Cucumber with Garden Veggie Shmear on a Fresh-Baked Multigrain Roll",460,N/A,"Calories: 460.0 , Fat Calories: 140.0 , Total Fat: 16.0 , Saturated Fat: 4.5 , Trans Fat: 0.0 , Cholesterol: 15.0 , Sodium: None , Potassium: None , Total Carbohydrates: 68.0 , Dietary Fiber: 12.0 , Sugars: 13.0 , Protein: 19.0 , Vitamin A: None , Vitamin C: None , Calcium: None , Iron: None ",
Every Day,Bread Specialty,Miltigrain Roll,1 roll,Miltigrain Roll,330,N/A,"Calories: 330.0 , Fat Calories: 60.0 , Total Fat: 7.0 , Saturated Fat: 1.0 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: None , Potassium: None , Total Carbohydrates: 54.0 , Dietary Fiber: 9.0 , Sugars: 8.0 , Protein: 14.0 , Vitamin A: None , Vitamin C: None , Calcium: None , Iron: None ",
Every Day,Bread Specialty,Ciabatta Bread,4oz,Ciabatta Bread,260,N/A,"Calories: 260.0 , Fat Calories: 20.0 , Total Fat: 2.0 , Saturated Fat: 0.0 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: None , Potassium: None , Total Carbohydrates: 52.0 , Dietary Fiber: 2.0 , Sugars: 0.0 , Protein: 9.0 , Vitamin A: None , Vitamin C: None , Calcium: None , Iron: None ",
