Meal Period,Category,Item Name,Portion,Description,Calories,Ingredients,Nutrients,Filters
Every Day,Pizza,Cheese Pizza,1-1/8 slice,Mozzerella Cheese Pizza with our Homemade Tomato Sauce Baked in an Authentic Brick Oven ,510,"Pizza Dough, Part Skim Mozzarella Cheese, Crushed tomatoes (unpeeled tomatoes, tomato puree, salt, citric acid), Canola Oil, Crushed tomatoes (tomatoes, tomato juice, citric acid, calcium chloride), Parmesan Cheese, Tomato puree (tomato puree, water, tomato paste, citric acid), Garlic, Onion, Onions, Olive Oil, Oregano, Garlic, Salt, Oregano, Red Pepper, Salt, Garlic, Parsley, Basil","Calories: 510 kcal, Protein (g): 23 g, Total Carbohydrates (g): 60 g, Sugar (g): 4+ g, Total Fat (g): 20 g, Saturated Fat (g): 7 g, Cholesterol (mg): 35 mg, Dietary Fiber (g): 3 g, Sodium (mg): 990 mg, Potassium (mg): 300 mg, Calcium (mg): 400 mg, Iron (mg): 4.1 mg, Trans Fat (g): - g, Vitamin D (IU): 45 IU, Vitamin C (mg): 3 mg, Calories From Fat: 180 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 5+ g","Gluten, Milk, Wheat, Vegetarian, Onion, Tomato, Garlic, Egg*, Soy*, Sesame*, Good Source of Protein"
Every Day,Pizza,Pepperoni Pizza,1-1/4 slice,Mozzerella Cheese Pizza with Homemade Tomato Sauce topped with Sliced Pepperoni Baked in an Authentic Brick Oven ,590,"Pizza Dough, Part Skim Mozzarella Cheese, Crushed tomatoes (unpeeled tomatoes, tomato puree, salt, citric acid), Pepperoni-, Canola Oil, Crushed tomatoes (tomatoes, tomato juice, citric acid, calcium chloride), Parmesan Cheese, Tomato puree (tomato puree, water, tomato paste, citric acid), Garlic, Onion, Onions, Olive Oil, Oregano, Garlic, Salt, Oregano, Red Pepper, Salt, Garlic, Parsley, Basil","Calories: 590 kcal, Protein (g): 25 g, Total Carbohydrates (g): 66 g, Sugar (g): 5+ g, Total Fat (g): 25 g, Saturated Fat (g): 8 g, Cholesterol (mg): 40 mg, Dietary Fiber (g): 3 g, Sodium (mg): 1180 mg, Potassium (mg): 340 mg, Calcium (mg): 380 mg, Iron (mg): 4.7 mg, Trans Fat (g): 0.5+ g, Vitamin D (IU): 60 IU, Vitamin C (mg): 3 mg, Calories From Fat: 220 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 10+ g","Gluten, Milk, Wheat, Onion, Tomato, Beef, Garlic, Mustard*, Egg*, Soy*, Pork, Sesame*, Good Source of Protein"
Every Day,Pizza,White on White Pizza,1-1/4 slice,A break from the traditional tomato sauce pizza,600,"Pizza Dough, Part Skim Ricotta Cheese, Whole Milk Mozzarella Cheese, Parmesan Cheese, Garlic, Canola Oil, Parsley, Chives, Garlic, Oregano, Red Pepper","Calories: 600 kcal, Protein (g): 30 g, Total Carbohydrates (g): 77 g, Sugar (g): 3+ g, Total Fat (g): 19 g, Saturated Fat (g): 10 g, Cholesterol (mg): 55 mg, Dietary Fiber (g): 3 g, Sodium (mg): 1060 mg, Potassium (mg): 290 mg, Calcium (mg): 410 mg, Iron (mg): 5.3 mg, Trans Fat (g): - g, Vitamin D (IU): 10+ IU, Vitamin C (mg): 9 mg, Calories From Fat: 170 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 10+ g","Gluten, Milk, Wheat, Soy, Vegetarian, Garlic, Good Source of Protein"
Every Day,Pizza,Veggie Pizza,1-1/4 slice,Veggie Pizza,550,"Pizza Dough, Part Skim Mozzarella Cheese, Tomatoes, Crushed tomatoes (unpeeled tomatoes, tomato puree, salt, citric acid), Green Bell Peppers, Onions, Mushrooms, Canola Oil, Parmesan Cheese, Garlic, Sugar, Onion, Basil, Garlic, Salt, Salt, Garlic, Parsley, Oregano, Red Pepper","Calories: 550 kcal, Protein (g): 25 g, Total Carbohydrates (g): 75 g, Sugar (g): 7+ g, Total Fat (g): 18 g, Saturated Fat (g): 7 g, Cholesterol (mg): 30 mg, Dietary Fiber (g): 4 g, Sodium (mg): 1070 mg, Potassium (mg): 430 mg, Calcium (mg): 380 mg, Iron (mg): 5.1 mg, Trans Fat (g): - g, Vitamin D (IU): 10 IU, Vitamin C (mg): 20 mg, Calories From Fat: 160 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 5+ g","Gluten, Milk, Wheat, Vegetarian, Onion, Tomato, Garlic, Egg*, Soy*, Sulphites, Mushroom, Good Source of Protein"
Every Day,Pizza,Hawaiian Pizza,3/4 slice,Hawaiian Pizza,300,"Pizza Dough, Part Skim Mozzarella Cheese, Diced tomatoes (tomatoes, tomato juice, calcium chloride, citric acid), Ham, Pineapple, Canola Oil, Parmesan Cheese, Garlic, Parsley, Garlic, Italian Seasoning, Red Pepper, Oregano","Calories: 300 kcal, Protein (g): 16 g, Total Carbohydrates (g): 40 g, Sugar (g): 4+ g, Total Fat (g): 9 g, Saturated Fat (g): 3.5 g, Cholesterol (mg): 25 mg, Dietary Fiber (g): 2 g, Sodium (mg): 720 mg, Potassium (mg): 210+ mg, Calcium (mg): 210 mg, Iron (mg): 2.7 mg, Trans Fat (g): - g, Vitamin D (IU): 35+ IU, Vitamin C (mg): 3 mg, Calories From Fat: 80 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 5+ g","Gluten, Milk, Wheat, Tomato, Garlic, Egg*, Soy*, Pork, Sesame*, Good Source of Protein"
Every Day,Pizza,Margherita Pizza,1 slice,"Mozzarella, Tomato, Basil Pizza",480,"Pizza Dough, Mozzarella Cheese, Crushed tomatoes (unpeeled tomatoes, tomato puree, salt, citric acid), Tomatoes, Canola Oil, Basil, Parmesan Cheese, Tomato paste (tomato paste, salt, citric acid), Sugar, Garlic, Salt, Garlic, Oregano, Red Pepper","Calories: 480 kcal, Protein (g): 22 g, Total Carbohydrates (g): 61 g, Sugar (g): 3+ g, Total Fat (g): 17 g, Saturated Fat (g): 7 g, Cholesterol (mg): 40 mg, Dietary Fiber (g): 3 g, Sodium (mg): 900 mg, Potassium (mg): 250 mg, Calcium (mg): 280 mg, Iron (mg): 4.3 mg, Trans Fat (g): - g, Vitamin D (IU): 10+ IU, Vitamin C (mg): 9 mg, Calories From Fat: 150 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 5+ g","Gluten, Milk, Wheat, Soy, Vegetarian, Tomato, Garlic, Good Source of Protein"
Every Day,Pizza,Meat Lovers Pizza,1 slice,"Four Meat Pizza with Pepperoni, Ham, Italian sausage, Meatball",490,"Pizza Dough, Whole Milk Mozzarella Cheese, Crushed tomatoes (unpeeled tomatoes, tomato puree, salt, citric acid), Pepperoni-, Beef Meatballs, Ham, Italian Sausage, Parmesan Cheese, Canola Oil, Garlic, Oregano, Red Pepper","Calories: 490 kcal, Protein (g): 23 g, Total Carbohydrates (g): 61 g, Sugar (g): 3+ g, Total Fat (g): 17 g, Saturated Fat (g): 8 g, Cholesterol (mg): 45 mg, Dietary Fiber (g): 3 g, Sodium (mg): 1010 mg, Potassium (mg): 290 mg, Calcium (mg): 230 mg, Iron (mg): 4.5 mg, Trans Fat (g): - g, Vitamin D (IU): 10+ IU, Vitamin C (mg): 8 mg, Calories From Fat: 150 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 10+ g","Gluten, Milk, Wheat, MSG*, Soy, Onion, Tomato, Beef, Garlic, Mustard*, Celery*, Pork, Good Source of Protein"
Every Day,Pizza,The Works Pizza,1 slice,"Meat, vegetable and olive pizza",490,"Pizza Dough, Whole Milk Mozzarella Cheese, Crushed tomatoes (unpeeled tomatoes, tomato puree, salt, citric acid), Italian Sausage, Pepperoni-, Black Olives, Green Bell Peppers, Onions, Parmesan Cheese, Canola Oil, Garlic, Oregano, Red Pepper","Calories: 490 kcal, Protein (g): 22 g, Total Carbohydrates (g): 62 g, Sugar (g): 4+ g, Total Fat (g): 17 g, Saturated Fat (g): 8 g, Cholesterol (mg): 40 mg, Dietary Fiber (g): 3 g, Sodium (mg): 1020 mg, Potassium (mg): 280 mg, Calcium (mg): 230 mg, Iron (mg): 4.7 mg, Trans Fat (g): - g, Vitamin D (IU): 10+ IU, Vitamin C (mg): 12 mg, Calories From Fat: 150 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 10+ g","Gluten, Milk, Wheat, Soy, Onion, Tomato, Beef, Garlic, Mustard*, Celery*, Pork, Good Source of Protein"
Every Day,Pizza,Buffalo Chicken Pizza,3/4 slice,Buffalo Chicken Pizza,540,"Pizza Dough, Part Skim Mozzarella Cheese, Breaded Chicken, Pizza Sauce, Blue Cheese Dressing, Hot Sauce, Yellow Cornmeal, Canola Oil, Parmesan Cheese, Parsley, Garlic, Parsley, Garlic, Italian Seasoning, Oregano, Red Pepper","Calories: 540 kcal, Protein (g): 24 g, Total Carbohydrates (g): 59 g, Sugar (g): 5+ g, Total Fat (g): 22 g, Saturated Fat (g): 7 g, Cholesterol (mg): 45+ mg, Dietary Fiber (g): 3 g, Sodium (mg): 1610 mg, Potassium (mg): 290+ mg, Calcium (mg): 280 mg, Iron (mg): 3.8 mg, Trans Fat (g): - g, Vitamin D (IU): 40+ IU, Vitamin C (mg): 2+ mg, Calories From Fat: 200 kcal, Vitamin A (RE): 15+ RE, Saturated Fat + Trans Fat (g): 5+ g","Gluten, Milk, Wheat, Egg, Soy, Onion, Tomato, Garlic, Poultry, Sesame*, MSG, Mustard, Celery, Good Source of Protein"
Every Day,Pizza,Spinach & Artichoke Calzone,1 each,"spinach, artichoke, ricotta, mozzarella",690,"Pizza Dough, Part Skim Ricotta Cheese, Part Skim Mozzarella Cheese, Canola Oil, Artichoke hearts (Artichoke Hearts, Water, Salt and Citric Acid), Spinach, Parmesan Cheese, Liquid Egg, Garlic, Waters, Garlic, Red Pepper, Oregano","Calories: 690 kcal, Protein (g): 30 g, Total Carbohydrates (g): 78 g, Sugar (g): 4+ g, Total Fat (g): 30 g, Saturated Fat (g): 9 g, Cholesterol (mg): 65 mg, Dietary Fiber (g): 3 g, Sodium (mg): 1140 mg, Potassium (mg): 370 mg, Calcium (mg): 460 mg, Iron (mg): 5.4 mg, Trans Fat (g): - g, Vitamin D (IU): 15 IU, Vitamin C (mg): 4 mg, Calories From Fat: 270 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 10+ g","Gluten, Milk, Wheat, Egg, Vegetarian, Garlic, Soy*, Sesame*, Good Source of Protein"
