Meal Period,Category,Item Name,Portion,Description,Calories,Ingredients,Nutrients,Filters
Every Day,Pollo,Buffalo Chicken Sandwich,1 sandwich,Served on a hoagie roll,490,"Breaded Chicken, Hoagie Roll, Buffalo Wing Sauce","Calories: 490 kcal, Protein (g): 28 g, Total Carbohydrates (g): 53 g, Sugar (g): 0 g, Total Fat (g): 18 g, Saturated Fat (g): 3.5 g, Cholesterol (mg): 45 mg, Dietary Fiber (g): 3 g, Sodium (mg): 2080 mg, Potassium (mg): 140+ mg, Calcium (mg): 70 mg, Iron (mg): 3.1 mg, Trans Fat (g): - g, Vitamin D (IU): 0+ IU, Vitamin C (mg): 0+ mg, Calories From Fat: 160 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 5+ g","Gluten, Wheat, MSG*, Soy, Onion, Garlic, Poultry, Celery, Good Source of Protein"
Every Day,Pollo,Chicken Philly Cheesesteak,1 sandwich,Chicken Philly Cheesesteak,530,"Chicken, Hoagie Roll, Onions, Green Bell Peppers, Provolone Cheese, Red Bell Peppers, Canola Oil, Salt, Black Pepper","Calories: 530 kcal, Protein (g): 36 g, Total Carbohydrates (g): 45 g, Sugar (g): 5 g, Total Fat (g): 22 g, Saturated Fat (g): 8 g, Cholesterol (mg): 135 mg, Dietary Fiber (g): 4 g, Sodium (mg): 860 mg, Potassium (mg): 540 mg, Calcium (mg): 300 mg, Iron (mg): 3.4 mg, Trans Fat (g): - g, Vitamin D (IU): 10 IU, Vitamin C (mg): 63 mg, Calories From Fat: 200 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 10+ g","Gluten, Milk, Wheat, Soy, Onion, Poultry, Good Source of Protein"
Every Day,Pollo,Chicken Biscuit Sandwich,1/2 sandwich,Chicken Biscuit Sandwich,510,"All Purpose Flour, Water, Chicken, Biscuit Mix, Fat Free Buttermilk, Whipping Cream, Waters, Cucumber, Cider Vinegar (apple juice, water), Salt, Sugar, Butter, Paprika (Paprika and Silicon Dioxide), Sugar, Garlic, Chicken Base, Baking Powder, Mustard, Black Pepper, Garlic, Dill Weed, Red Pepper","Calories: 510 kcal, Protein (g): 21 g, Total Carbohydrates (g): 62 g, Sugar (g): 6+ g, Total Fat (g): 19 g, Saturated Fat (g): 11 g, Cholesterol (mg): 75 mg, Dietary Fiber (g): 2 g, Sodium (mg): 1580 mg, Potassium (mg): 250+ mg, Calcium (mg): 160 mg, Iron (mg): 4.2 mg, Trans Fat (g): - g, Vitamin D (IU): 25 IU, Vitamin C (mg): 0+ mg, Calories From Fat: 170 kcal, Vitamin A (RE): 10+ RE, Saturated Fat + Trans Fat (g): 10+ g","Gluten, Milk, Wheat, Egg, Soy, Garlic, Poultry, Mustard, Good Source of Protein"
Every Day,Pollo,Chicken Parmesan Sub,1 each,Chicken with melted Italian cheeses and marinara on a sub,610,"Chicken Breast, Hoagie Roll, Crushed tomatoes (unpeeled tomatoes, tomato puree, salt, citric acid), Provolone Cheese, Onions, Tomato puree (tomato puree, water, tomato paste, citric acid), Parmesan Cheese, Canola Oil, Garlic, Salt, Basil, Black Pepper, Oregano","Calories: 610 kcal, Protein (g): 36 g, Total Carbohydrates (g): 67 g, Sugar (g): 4 g, Total Fat (g): 22 g, Saturated Fat (g): 8 g, Cholesterol (mg): 60 mg, Dietary Fiber (g): 6 g, Sodium (mg): 1540 mg, Potassium (mg): 630 mg, Calcium (mg): 380 mg, Iron (mg): 4.5 mg, Trans Fat (g): - g, Vitamin D (IU): 5 IU, Vitamin C (mg): 7 mg, Calories From Fat: 200 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 10+ g","Gluten, Milk, Wheat, MSG*, Soy, Onion, Tomato, Garlic, Mustard*, Celery*, Poultry, Good Source of Protein"
Every Day,Pollo,Monterey Chicken Wrap,1 sandwich,"With bacon, lettuce, tomato and cheddar",710,"Chicken, Flour Tortilla, Tomatoes, Cheddar Cheese, Shredded Lettuce, Bacon, Mayonnaise, Canola Oil, Salt, Black Pepper","Calories: 710 kcal, Protein (g): 41 g, Total Carbohydrates (g): 52 g, Sugar (g): 3 g, Total Fat (g): 38 g, Saturated Fat (g): 13 g, Cholesterol (mg): 125 mg, Dietary Fiber (g): 3 g, Sodium (mg): 1850 mg, Potassium (mg): 560 mg, Calcium (mg): 340 mg, Iron (mg): 1+ mg, Trans Fat (g): - g, Vitamin D (IU): 10+ IU, Vitamin C (mg): 7+ mg, Calories From Fat: 340 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 15+ g","Gluten, Milk, Wheat, Egg, Tomato, Poultry, Pork, Sulphites, Good Source of Protein"
Every Day,Pollo,Big Daddy Turkey,1 sandwich,"turkey, provolone, arugula, tomato, pickled onion, pesto mayo, sourdough",530,"Turkey, Sourdough Bread, Tomatoes, Arugula, Provolone Cheese, Waters, Onions, Mayonnaise, Seasoned Rice Wine Vinegar, Basil Pesto, Lemon Juice, Salt, Sugar, Thyme","Calories: 530 kcal, Protein (g): 31 g, Total Carbohydrates (g): 54 g, Sugar (g): 8+ g, Total Fat (g): 22 g, Saturated Fat (g): 7 g, Cholesterol (mg): 75 mg, Dietary Fiber (g): 4 g, Sodium (mg): 1840 mg, Potassium (mg): 510+ mg, Calcium (mg): 280 mg, Iron (mg): 5 mg, Trans Fat (g): - g, Vitamin D (IU): 10+ IU, Vitamin C (mg): 11+ mg, Calories From Fat: 200 kcal, Vitamin A (RE): 15+ RE, Saturated Fat + Trans Fat (g): 5+ g","Gluten, Milk, Wheat, Egg, Soy, Onion, Tomato, Garlic, Tree Nuts*, Poultry, Sulphites, Mustard, Sesame, Good Source of Protein"
Every Day,Pollo,Crispy Chicken Wings,6 each,Crunchy wings,440,"Chicken, Lemon Pepper Seasoning, Seasoned Salt","Calories: 440 kcal, Protein (g): 34 g, Total Carbohydrates (g): 0 g, Sugar (g): 0 g, Total Fat (g): 34 g, Saturated Fat (g): 8 g, Cholesterol (mg): 200 mg, Dietary Fiber (g): 0 g, Sodium (mg): 1250 mg, Potassium (mg): 300 mg, Calcium (mg): 30 mg, Iron (mg): 1.2 mg, Trans Fat (g): 0 g, Vitamin D (IU): 10+ IU, Vitamin C (mg): 0 mg, Calories From Fat: 300 kcal, Vitamin A (RE): 5+ RE, Saturated Fat + Trans Fat (g): 10+ g","Onion, Garlic, Poultry, Celery, Good Source of Protein"
Every Day,Pollo,Chicken Tenders,5 ounce,Light tender and crispy,440,Breaded Chicken,"Calories: 440 kcal, Protein (g): 27 g, Total Carbohydrates (g): 20 g, Sugar (g): 0 g, Total Fat (g): 28 g, Saturated Fat (g): 4 g, Cholesterol (mg): 60 mg, Dietary Fiber (g): 0 g, Sodium (mg): 870 mg, Potassium (mg): 0+ mg, Calcium (mg): 0 mg, Iron (mg): 1.2 mg, Trans Fat (g): 0 g, Vitamin D (IU): - IU, Vitamin C (mg): 0 mg, Calories From Fat: 250 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 5+ g","Gluten, Wheat, MSG*, Soy, Onion, Garlic, Poultry, Celery, Good Source of Protein"
Every Day,Pollo,Hand Cut French Fries,5 oz portion,"Salty, hot fresh cut fries",130,"Potatoes, Salt","Calories: 130 kcal, Protein (g): 3 g, Total Carbohydrates (g): 31 g, Sugar (g): 2 g, Total Fat (g): 0 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 2 g, Sodium (mg): 590 mg, Potassium (mg): 550 mg, Calcium (mg): 10 mg, Iron (mg): 0.5 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): 18 mg, Calories From Fat: 0 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 0 g",
Every Day,Pollo,Barbecue Sauce,2 floz,Barbecue Sauce,100,Barbecue Sauce,"Calories: 100 kcal, Protein (g): less than 1 gram g, Total Carbohydrates (g): 23 g, Sugar (g): 19 g, Total Fat (g): 0 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): less than 1 gram g, Sodium (mg): 460 mg, Potassium (mg): 240 mg, Calcium (mg): 50 mg, Iron (mg): 1.4 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): - mg, Calories From Fat: 0 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 0 g","Vegetarian, Onion, Tomato, Vegan, Garlic, Mustard, Gluten*, Wheat*"
