Meal Period,Category,Item Name,Portion,Description,Calories,Ingredients,Nutrients,Filters
Everyday,Main Entrees,Carne Asada Burrito,1 each,"Sliced Steak, Beans, Rice and Cheese",530,"Beef, Flour Tortilla, Whole peeled tomatoes (tomatoes, tomato juice, salt, calcium chloride, citric acid), Cheddar Cheese, Red Wine Vinegar, Water, Long Grain White Rice, Burgundy Cooking Wine, Vegetarian Refried Beans, Onions, Water, Cilantro, Bell Peppers, Green Chili Peppers, Canola Oil, Salt, Garlic, Black Pepper, Chili Powder (Chili Pepper, Salt, Cumin, Oregano, Silicon Dioxide, Garlic), Garlic (Garlic, Water), Black Pepper","Calories: 530 kcal, Protein (g): 30 g, Total Carbohydrates (g): 50 g, Sugar (g): 2+ g, Total Fat (g): 24 g, Saturated Fat (g): 11 g, Cholesterol (mg): 75+ mg, Dietary Fiber (g): 4 g, Sodium (mg): 880 mg, Potassium (mg): 450 mg, Calcium (mg): 310 mg, Iron (mg): 4 mg, Trans Fat (g): - g, Vitamin D (IU): 10+ IU, Vitamin C (mg): 7+ mg, Calories From Fat: 220 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 10+ g","Gluten, Milk, Wheat, Onion, Tomato, Beef, Garlic, Sulphites, Alcohol, Good Source of Protein"
Everyday,Main Entrees,Pork Carnitas Burrito,1 sandwich,"Pork carnitas burrito with beans, rice and salsa",650,"Pork, Flour Tortilla, Water, Cheddar Cheese, Black beans (Black beans, water, salt, calcium chloride), Salsa, Brown Rice, Carrots, Onions, Celery, Onions, Chopped whole peeled tomatoes (tomatoes, tomato juice, salt, calcium chloride, citric acid), Lemon Juice, Onions, Canola Oil, Cilantro, Sherry Vinegar, Salt, Lemon, Garlic, Salt, Vegetable Base, Cornstarch, Chili Powder (Chili Pepper, Salt, Cumin, Oregano, Silicon Dioxide, Garlic), Cumin, Coriander, Thyme, Black Pepper, Oregano","Calories: 650 kcal, Protein (g): 35 g, Total Carbohydrates (g): 64 g, Sugar (g): 3 g, Total Fat (g): 28 g, Saturated Fat (g): 13 g, Cholesterol (mg): 95 mg, Dietary Fiber (g): 4 g, Sodium (mg): 1110 mg, Potassium (mg): 500 mg, Calcium (mg): 360 mg, Iron (mg): 2+ mg, Trans Fat (g): - g, Vitamin D (IU): 35+ IU, Vitamin C (mg): 4+ mg, Calories From Fat: 250 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 15+ g","Gluten, Milk, Wheat, Onion, Tomato, Garlic, Pork, Sulphites, Celery"
Everyday,Main Entrees,Grilled Chili Lime Chicken Burrito,1 each,"Spiced rubbed chicken marinated, grilled and wrapped in a flour tortilla with beans and salsa",650,"Chicken, Flour Tortilla, Water, Long Grain White Rice, Tomatoes, Black turtle beans (Prepared Black beans, water, salt and calcium chloride), Lime, Onions, Canola Oil, Smoky Chili and Cumin Spice Rub, Tomatoes, Cilantro, Onions, Serrano Pepper, Salt, Cumin, Garlic, Oregano","Calories: 650 kcal, Protein (g): 35 g, Total Carbohydrates (g): 79 g, Sugar (g): 3+ g, Total Fat (g): 21 g, Saturated Fat (g): 7 g, Cholesterol (mg): 125 mg, Dietary Fiber (g): 5 g, Sodium (mg): 1170 mg, Potassium (mg): 560 mg, Calcium (mg): 170 mg, Iron (mg): 2.7+ mg, Trans Fat (g): - g, Vitamin D (IU): 5+ IU, Vitamin C (mg): 11+ mg, Calories From Fat: 190 kcal, Vitamin A (RE): 70+ RE, Saturated Fat + Trans Fat (g): 5+ g","Gluten, Wheat, Onion, Tomato, Garlic, Poultry, Sulphites, Good Source of Protein"
Everyday,Main Entrees,Vegetable Quesadilla,2 wedge,Grilled Torilla stuffed with melted cheese and roasted vegetables,230,"Flour Tortilla, Cheddar Cheese, Onions, Roasted peppers (Roasted Peppers, Water, Salt Citric Acid), Squash, Canola Oil, Seasoned Salt, Black Pepper","Calories: 230 kcal, Protein (g): 9 g, Total Carbohydrates (g): 16 g, Sugar (g): less than 1 gram g, Total Fat (g): 14 g, Saturated Fat (g): 7 g, Cholesterol (mg): 30 mg, Dietary Fiber (g): 1 g, Sodium (mg): 410 mg, Potassium (mg): 80 mg, Calcium (mg): 240 mg, Iron (mg): 1.1 mg, Trans Fat (g): - g, Vitamin D (IU): 5 IU, Vitamin C (mg): 14+ mg, Calories From Fat: 130 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 5+ g","Gluten, Milk, Wheat, Vegetarian, Onion, Garlic, How Good Friendly, Celery, Good Source of Protein"
Everyday,Main Entrees,Pork Carnitas,2 oz portion,Pork Carnitas,390,"Pork, Water, Onions, Canola Oil, Garlic, Sweetened Condensed Milk, Salt, Orange, Bay Leaf, Mexican Oregano","Calories: 390 kcal, Protein (g): 37 g, Total Carbohydrates (g): 2 g, Sugar (g): 1+ g, Total Fat (g): 25 g, Saturated Fat (g): 8 g, Cholesterol (mg): 130 mg, Dietary Fiber (g): 0 g, Sodium (mg): 510 mg, Potassium (mg): 670 mg, Calcium (mg): 50 mg, Iron (mg): 2.5 mg, Trans Fat (g): - g, Vitamin D (IU): 60 IU, Vitamin C (mg): 3+ mg, Calories From Fat: 230 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 10+ g","Milk, Orange, Onion, Garlic, Pork, Avoiding Gluten, Good Source of Protein"
Everyday,Main Entrees,Chicken Tacos,2 each,Chicken Tacos,460,"Chicken, Sour Cream, Green Bell Peppers, Onions, Corn Taco Shell, Butter, Chipotle Sauce, Canola Oil, Oregano, Cumin, Coriander, Salt, Garlic, Chili Powder (Chili Pepper, Salt, Cumin, Oregano, Silicon Dioxide, Garlic), Black Pepper, Black Pepper, Thyme, Black Pepper","Calories: 460 kcal, Protein (g): 21 g, Total Carbohydrates (g): 25 g, Sugar (g): 5+ g, Total Fat (g): 33 g, Saturated Fat (g): 14 g, Cholesterol (mg): 115 mg, Dietary Fiber (g): 4 g, Sodium (mg): 580 mg, Potassium (mg): 610 mg, Calcium (mg): 150 mg, Iron (mg): 2.8 mg, Trans Fat (g): 1+ g, Vitamin D (IU): 0+ IU, Vitamin C (mg): 46 mg, Calories From Fat: 290 kcal, Vitamin A (RE): 5+ RE, Saturated Fat + Trans Fat (g): 15+ g","Milk, Onion, Garlic, Mustard*, Poultry, Avoiding Gluten, Good Source of Protein"
Everyday,Main Entrees,Spicy Beef Tacos with Chilies,2 each,Braised beef wrapped in corn tortillas,500,"Corn Tortilla (Corn, Water, Preservatives, Xanthan Gum, Lime), Beef, Tomatoes, Water, Tomatillos (tomatillos, citric acid), Cheddar Cheese, Monterey Jack Cheese, Onions, Lime, Avocado, Onions, Cilantro, Onions, Chili Peppers, Lime, Canola Oil, Cider Vinegar (apple juice, water), Garlic, Sugar, Serrano Pepper, Salt, Cloves, Oregano, Cinnamon, Black Pepper","Calories: 500 kcal, Protein (g): 32 g, Total Carbohydrates (g): 51 g, Sugar (g): 4+ g, Total Fat (g): 19 g, Saturated Fat (g): 8 g, Cholesterol (mg): 80 mg, Dietary Fiber (g): 9 g, Sodium (mg): 470 mg, Potassium (mg): 740+ mg, Calcium (mg): 320+ mg, Iron (mg): 3.1+ mg, Trans Fat (g): - g, Vitamin D (IU): 5+ IU, Vitamin C (mg): 14+ mg, Calories From Fat: 170 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 10+ g","Milk, Onion, Tomato, Beef, Garlic, Good Source of Protein"
Everyday,Main Entrees,Grilled Poblano Tacos,1 each,Grilled Poblano Peppers and Black Beans with Queso Fresco and Roasted Corn,390,"Chili Peppers, Water, Black beans (Black beans, water, salt, calcium chloride), Corn Tortilla (Corn, Water, Preservatives, Xanthan Gum, Lime), Brown Rice, Tomatoes, Waters, Corn, Queso Fresco Mexican Cheese, Diced tomatoes (tomatoes, tomato juice, calcium chloride, citric acid), Onions, Onions, Canola Oil, Lime, Cilantro, Onions, Sherry Vinegar, Serrano Pepper, Carrots, Celery, Cilantro, Garlic, Salt, Cumin, Chili Powder (Chili Pepper, Salt, Cumin, Oregano, Silicon Dioxide, Garlic), Thickener, Cumin, Coriander, Parsley, Black Peppercorns, Bay Leaf","Calories: 390 kcal, Protein (g): 13 g, Total Carbohydrates (g): 68 g, Sugar (g): 7+ g, Total Fat (g): 9 g, Saturated Fat (g): 2.5 g, Cholesterol (mg): 10 mg, Dietary Fiber (g): 13 g, Sodium (mg): 390 mg, Potassium (mg): 840 mg, Calcium (mg): 160 mg, Iron (mg): 3.7+ mg, Trans Fat (g): - g, Vitamin D (IU): 0 IU, Vitamin C (mg): 60 mg, Calories From Fat: 80 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 5+ g","Milk, Vegetarian, Onion, Tomato, Garlic, Sulphites, Celery, Avoiding Gluten, Good Source of Protein"
Everyday,Main Entrees,Pork Carnitas Quesadilla,2 each,"Corn tortilla quesadilla with braised pork, peppers and onions with melted cheese",310,"Pork, Corn Tortilla (Corn, Water, Preservatives, Xanthan Gum, Lime), Monterey Jack Cheese, Green Bell Peppers, Water, Onions, Onions, Orange, Parmesan Cheese, Canola Oil, Ancho Chili Pepper Seasoning (Ancho Chile Peppers and Silicon Dioxide), Cilantro, Salt, Garlic, Cumin, Oregano, Cinnamon","Calories: 310 kcal, Protein (g): 19 g, Total Carbohydrates (g): 24 g, Sugar (g): 2+ g, Total Fat (g): 16 g, Saturated Fat (g): 7 g, Cholesterol (mg): 60 mg, Dietary Fiber (g): 4 g, Sodium (mg): 350 mg, Potassium (mg): 300 mg, Calcium (mg): 280 mg, Iron (mg): 1.7 mg, Trans Fat (g): - g, Vitamin D (IU): 20 IU, Vitamin C (mg): 16 mg, Calories From Fat: 140 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 5+ g","Milk, Orange, Onion, Garlic, Pork, Avoiding Gluten, Good Source of Protein"
Everyday,Main Entrees,Chili Lime Chicken Quesadillas,1 each,Marinated grilled chicken folded in flour tortillas with melted cheese,640,"Chicken, Flour Tortilla, Tomatoes, Tomatoes, Cheddar Cheese, Monterey Jack Cheese, Onions, Lime, Water, Lime, Canola Oil, Smoky Chili and Cumin Spice Rub, Onions, Chili Peppers, Cilantro, Serrano Pepper, Chipotle Peppers, Salt, Garlic","Calories: 640 kcal, Protein (g): 39 g, Total Carbohydrates (g): 56 g, Sugar (g): 4+ g, Total Fat (g): 30 g, Saturated Fat (g): 12 g, Cholesterol (mg): 150 mg, Dietary Fiber (g): 4 g, Sodium (mg): 1250 mg, Potassium (mg): 640+ mg, Calcium (mg): 350 mg, Iron (mg): 1.9+ mg, Trans Fat (g): - g, Vitamin D (IU): 15+ IU, Vitamin C (mg): 18+ mg, Calories From Fat: 270 kcal, Vitamin A (RE): 70+ RE, Saturated Fat + Trans Fat (g): 10+ g","Gluten, Milk, Wheat, Onion, Tomato, Garlic, Mustard*, Poultry, Sulphites, Good Source of Protein"
