Meal Period,Category,Item Name,Portion,Description,Calories,Ingredients,Nutrients,Filters
Every Day,Bagels,Plain,1 Bagel,Plain,120,N/A,"Calories: 120.0 , Fat Calories: 110.0 , Total Fat: 12.0 , Saturated Fat: 8.0 , Trans Fat: 0.0 , Cholesterol: 35.0 , Sodium: 115.0 , Potassium: None , Total Carbohydrates: 2.0 , Dietary Fiber: 0.0 , Sugars: 2.0 , Protein: 2.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 0.0 , Iron: 0.0 ",
Every Day,Bagels,Cinnamon Raisin,1 Bagel,Cinnamon Raisin,330,N/A,"Calories: 330.0 , Fat Calories: 30.0 , Total Fat: 3.5 , Saturated Fat: 0.5 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: 450.0 , Potassium: None , Total Carbohydrates: 65.0 , Dietary Fiber: 5.0 , Sugars: 13.0 , Protein: 11.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 20.0 , Iron: 3.6 ",
Every Day,Bagels,Everything,1 Bagel,Everything,350,N/A,"Calories: 350.0 , Fat Calories: 40.0 , Total Fat: 4.5 , Saturated Fat: 0.5 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: 660.0 , Potassium: None , Total Carbohydrates: 66.0 , Dietary Fiber: 5.0 , Sugars: 5.0 , Protein: 13.0 , Vitamin A: None , Vitamin C: 1.0 , Calcium: 60.0 , Iron: 4.5 ",
Every Day,Bagels,Garlic,1 Bagel,Garlic,340,N/A,"Calories: 340.0 , Fat Calories: 25.0 , Total Fat: 2.5 , Saturated Fat: 0.5 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: 660.0 , Potassium: None , Total Carbohydrates: 68.0 , Dietary Fiber: 6.0 , Sugars: 5.0 , Protein: 12.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 20.0 , Iron: 4.5 ",
Every Day,Bagels,Multigrain,1 Bagel,Multigrain,390,N/A,"Calories: 390.0 , Fat Calories: 70.0 , Total Fat: 8.0 , Saturated Fat: 0.5 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: 560.0 , Potassium: None , Total Carbohydrates: 65.0 , Dietary Fiber: 8.0 , Sugars: 7.0 , Protein: 14.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 60.0 , Iron: 4.5 ",
Every Day,Bagels,Onion,1 Bagel,Onion,310,N/A,"Calories: 310.0 , Fat Calories: 20.0 , Total Fat: 2.0 , Saturated Fat: 0.0 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: 380.0 , Potassium: None , Total Carbohydrates: 63.0 , Dietary Fiber: 3.0 , Sugars: 3.0 , Protein: 11.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 20.0 , Iron: 3.6 ",
Every Day,Bagels,Poppy Seed,1 Bagel,Poppy Seed,350,N/A,"Calories: 350.0 , Fat Calories: 50.0 , Total Fat: 6.0 , Saturated Fat: 0.5 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: 660.0 , Potassium: None , Total Carbohydrates: 64.0 , Dietary Fiber: 5.0 , Sugars: 5.0 , Protein: 13.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 100.0 , Iron: 4.5 ",
Every Day,Bagels,Salt,1 Bagel,Salt,320,N/A,"Calories: 320.0 , Fat Calories: 25.0 , Total Fat: 2.5 , Saturated Fat: 0.5 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: 3420.0 , Potassium: None , Total Carbohydrates: 63.0 , Dietary Fiber: 5.0 , Sugars: 5.0 , Protein: 11.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 40.0 , Iron: 3.6 ",
Every Day,Bagels,Sesame,1 Bagel,Sesame,360,N/A,"Calories: 360.0 , Fat Calories: 50.0 , Total Fat: 6.0 , Saturated Fat: 0.5 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: 660.0 , Potassium: None , Total Carbohydrates: 63.0 , Dietary Fiber: 5.0 , Sugars: 5.0 , Protein: 13.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 20.0 , Iron: 4.5 ",
Every Day,Bagels,Sour Cream and Onion,1 Bagel,Sour Cream and Onion,330,N/A,"Calories: 330.0 , Fat Calories: 20.0 , Total Fat: 2.5 , Saturated Fat: 0.5 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: 930.0 , Potassium: None , Total Carbohydrates: 66.0 , Dietary Fiber: 3.0 , Sugars: 5.0 , Protein: 12.0 , Vitamin A: None , Vitamin C: 4.0 , Calcium: 80.0 , Iron: 3.6 ",
Every Day,Bagels,Wheat,1 Bagel,Wheat,320,N/A,"Calories: 320.0 , Fat Calories: 30.0 , Total Fat: 3.5 , Saturated Fat: 0.0 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: 550.0 , Potassium: None , Total Carbohydrates: 61.0 , Dietary Fiber: 5.0 , Sugars: 4.0 , Protein: 12.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 20.0 , Iron: 3.6 ",
Every Day,Breakfast Sandwiches,"Bacon, Egg & Cheese Biscuit",1 Sandwich,"Bacon, Egg & Cheese Biscuit",490,N/A,"Calories: 490.0 , Fat Calories: 270.0 , Total Fat: 30.0 , Saturated Fat: 14.0 , Trans Fat: 0.5 , Cholesterol: 205.0 , Sodium: 1300.0 , Potassium: None , Total Carbohydrates: 35.0 , Dietary Fiber: 1.0 , Sugars: 4.0 , Protein: 18.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 200.0 , Iron: 3.6 ",
Every Day,Breakfast Sandwiches,"Bacon, Egg & Cheese Croissant",1 Sandwich,"Bacon, Egg & Cheese Croissant",550,N/A,"Calories: 550.0 , Fat Calories: 300.0 , Total Fat: 34.0 , Saturated Fat: 14.0 , Trans Fat: 0.5 , Cholesterol: 205.0 , Sodium: 1050.0 , Potassium: None , Total Carbohydrates: 41.0 , Dietary Fiber: 2.0 , Sugars: 6.0 , Protein: 20.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 150.0 , Iron: 2.7 ",
Every Day,Breakfast Sandwiches,"Bacon, Egg& Cheese English Muffin",1 Sandwich,"Bacon, Egg& Cheese English Muffin",370,N/A,"Calories: 370.0 , Fat Calories: 160.0 , Total Fat: 18.0 , Saturated Fat: 6.0 , Trans Fat: 0.0 , Cholesterol: 205.0 , Sodium: 1030.0 , Potassium: None , Total Carbohydrates: 34.0 , Dietary Fiber: 1.0 , Sugars: 3.0 , Protein: 18.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 150.0 , Iron: 2.7 ",
Every Day,Breakfast Sandwiches,Egg & Cheese Bagel,1 Sandwich,Egg & Cheese Bagel,480,N/A,"Calories: 480.0 , Fat Calories: 140.0 , Total Fat: 15.0 , Saturated Fat: 5.0 , Trans Fat: 0.0 , Cholesterol: 200.0 , Sodium: 1130.0 , Potassium: None , Total Carbohydrates: 66.0 , Dietary Fiber: 5.0 , Sugars: 6.0 , Protein: 20.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 150.0 , Iron: 4.5 ",
Every Day,Breakfast Sandwiches,Egg & Cheese Biscuit,1 Sandwich,Egg & Cheese Biscuit,440,N/A,"Calories: 440.0 , Fat Calories: 240.0 , Total Fat: 27.0 , Saturated Fat: 13.0 , Trans Fat: 0.5 , Cholesterol: 200.0 , Sodium: 1090.0 , Potassium: None , Total Carbohydrates: 35.0 , Dietary Fiber: 1.0 , Sugars: 3.0 , Protein: 14.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 200.0 , Iron: 3.6 ",
Every Day,Breakfast Sandwiches,Egg & Cheese Croissant,1 Sandwich,Egg & Cheese Croissant,500,N/A,"Calories: 500.0 , Fat Calories: 270.0 , Total Fat: 30.0 , Saturated Fat: 12.0 , Trans Fat: 0.5 , Cholesterol: 200.0 , Sodium: 840.0 , Potassium: None , Total Carbohydrates: 40.0 , Dietary Fiber: 2.0 , Sugars: 6.0 , Protein: 16.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 150.0 , Iron: 2.7 ",
Every Day,Breakfast Sandwiches,Egg & Cheese English Muffin,1 Sandwich,Egg & Cheese English Muffin,320,N/A,"Calories: 320.0 , Fat Calories: 130.0 , Total Fat: 15.0 , Saturated Fat: 5.0 , Trans Fat: 0.0 , Cholesterol: 200.0 , Sodium: 820.0 , Potassium: None , Total Carbohydrates: 34.0 , Dietary Fiber: 1.0 , Sugars: 3.0 , Protein: 14.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 150.0 , Iron: 2.7 ",
Every Day,Breakfast Sandwiches,"Ham, Egg & Cheese Bagel",1 Sandwich,"Ham, Egg & Cheese Bagel",510,N/A,"Calories: 510.0 , Fat Calories: 150.0 , Total Fat: 16.0 , Saturated Fat: 6.0 , Trans Fat: 0.0 , Cholesterol: 210.0 , Sodium: 1430.0 , Potassium: None , Total Carbohydrates: 66.0 , Dietary Fiber: 5.0 , Sugars: 7.0 , Protein: 25.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 150.0 , Iron: 4.5 ",
