Meal Period,Category,Item Name,Portion,Description,Calories,Ingredients,Nutrients,Filters
Every Day,Wild Greens,Baby Spinach,2 cup,Baby Spinach,15,Spinach,"Calories: 15 kcal, Protein (g): 2 g, Total Carbohydrates (g): 2 g, Sugar (g): 0 g, Total Fat (g): 0 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 1 g, Sodium (mg): 45 mg, Potassium (mg): 330 mg, Calcium (mg): 60 mg, Iron (mg): 1.6 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): 17 mg, Calories From Fat: 0 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 0 g","Vegetarian, Vegan, How Good Friendly, Avoiding Gluten"
Every Day,Wild Greens,Spring Mix,4 ounce,Spring Mix,15,Spring Lettuce Salad Mix,"Calories: 15 kcal, Protein (g): 2 g, Total Carbohydrates (g): 3 g, Sugar (g): 1 g, Total Fat (g): 0 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 1 g, Sodium (mg): 5 mg, Potassium (mg): 270 mg, Calcium (mg): 40 mg, Iron (mg): 1.4 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): 4 mg, Calories From Fat: 0 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 0 g","Vegetarian, Vegan, Avoiding Gluten"
Every Day,Wild Greens,Beyond Hot italian sausage,1 each,plant based italian sausage,260,"Vegan Hot Sausage, Canola Oil","Calories: 260 kcal, Protein (g): 17 g, Total Carbohydrates (g): 8 g, Sugar (g): 0 g, Total Fat (g): 17 g, Saturated Fat (g): 7 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 3 g, Sodium (mg): 540 mg, Potassium (mg): 240 mg, Calcium (mg): 60 mg, Iron (mg): 4.1 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0+ IU, Vitamin C (mg): 0 mg, Calories From Fat: 150 kcal, Vitamin A (RE): 10+ RE, Saturated Fat + Trans Fat (g): 5 g","Tree Nuts, MSG*, Peanuts*, Vegetarian, Vegan, Avoiding Gluten, Lupin*"
Every Day,Wild Greens,Harissa Grilled Chicken,4 ounce,"Grilled chicken thighs with harissa seasoning, salt, pepper, lemon, olive oil",200,"Chicken, Lemon Juice, Olive Oil, Harissa Seasoning, Salt, Fresh Ground Black Pepper","Calories: 200 kcal, Protein (g): 21 g, Total Carbohydrates (g): less than 1 gram g, Sugar (g): 0 g, Total Fat (g): 12 g, Saturated Fat (g): 2.5 g, Cholesterol (mg): 115 mg, Dietary Fiber (g): 0 g, Sodium (mg): 670 mg, Potassium (mg): 240+ mg, Calcium (mg): 10 mg, Iron (mg): 1.1 mg, Trans Fat (g): - g, Vitamin D (IU): 5+ IU, Vitamin C (mg): 2 mg, Calories From Fat: 100 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 5+ g","Onion, Garlic, Mustard*, Celery*, Poultry, Good Source of Protein"
Every Day,Wild Greens,Flaked Tuna Fish,3 ounce,Flaked Tuna Fish,70,Tuna,"Calories: 70 kcal, Protein (g): 17 g, Total Carbohydrates (g): 0 g, Sugar (g): 0 g, Total Fat (g): 1 g, Saturated Fat (g): 0 g, Cholesterol (mg): 30 mg, Dietary Fiber (g): 0 g, Sodium (mg): 210 mg, Potassium (mg): 150 mg, Calcium (mg): 10 mg, Iron (mg): 1.4 mg, Trans Fat (g): 0 g, Vitamin D (IU): 40 IU, Vitamin C (mg): 0 mg, Calories From Fat: 5 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 0 g","MSG*, Soy*, Fish, Avoiding Gluten, Good Source of Protein"
Every Day,Wild Greens,Grilled Chicken,4 ounce,Grilled Chicken,110,Chicken,"Calories: 110 kcal, Protein (g): 22 g, Total Carbohydrates (g): 0 g, Sugar (g): 0 g, Total Fat (g): 2.5 g, Saturated Fat (g): 0.5 g, Cholesterol (mg): 70 mg, Dietary Fiber (g): 0 g, Sodium (mg): 250 mg, Potassium (mg): 330 mg, Calcium (mg): 10 mg, Iron (mg): 0.5 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): 0 mg, Calories From Fat: 25 kcal, Vitamin A (RE): 5 RE, Saturated Fat + Trans Fat (g): 0 g","Poultry, Avoiding Gluten"
Every Day,Wild Greens,Carved Top Round Beef,4 ounce,Oven roasted top round,270,"Beef, Beef Stock, Steak Sauce, Garlic, Garlic, Onion, Worcestershire Sauce with Anchovies","Calories: 270 kcal, Protein (g): 38 g, Total Carbohydrates (g): 2 g, Sugar (g): 0 g, Total Fat (g): 11 g, Saturated Fat (g): 4 g, Cholesterol (mg): 100 mg, Dietary Fiber (g): 0 g, Sodium (mg): 120 mg, Potassium (mg): 370+ mg, Calcium (mg): 10 mg, Iron (mg): 3.5 mg, Trans Fat (g): - g, Vitamin D (IU): 10+ IU, Vitamin C (mg): 0+ mg, Calories From Fat: 100 kcal, Vitamin A (RE): 5+ RE, Saturated Fat + Trans Fat (g): 5+ g","Orange, Soy, Onion, Tomato, Beef, Garlic, Mustard*, Celery*, Gluten*, Fish, Good Source of Protein"
Every Day,Wild Greens,Marinated Tofu,1/4 cup,Marinated Tofu,40,"Tofu, Green Onions, Waters, Soy Sauce, Cornstarch, Unseasoned Rice Wine Vinegar, Hot Chili Sauce","Calories: 40 kcal, Protein (g): 4 g, Total Carbohydrates (g): 3 g, Sugar (g): less than 1 gram g, Total Fat (g): 2 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 0 g, Sodium (mg): 95 mg, Potassium (mg): 80 mg, Calcium (mg): 150 mg, Iron (mg): 2.3 mg, Trans Fat (g): - g, Vitamin D (IU): 0+ IU, Vitamin C (mg): 1+ mg, Calories From Fat: 20 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 0+ g","Soy, Vegetarian, Onion, Vegan, Garlic, Sulphites, Avoiding Gluten"
Every Day,Wild Greens,Quinoa,4 ounce,Quinoa,70,"Quinoa, Water, Chicken Broth Concentrate","Calories: 70 kcal, Protein (g): 3 g, Total Carbohydrates (g): 13 g, Sugar (g): less than 1 gram g, Total Fat (g): 1.5 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 2 g, Sodium (mg): 200 mg, Potassium (mg): 100 mg, Calcium (mg): 10 mg, Iron (mg): 0.9 mg, Trans Fat (g): - g, Vitamin D (IU): 0 IU, Vitamin C (mg): 0+ mg, Calories From Fat: 10 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 0+ g",Poultry
Every Day,Wild Greens,Hummus,1 ounce,Hummus,50,"Chick peas (Chick Peas, Water, Salt, Mustard, Calcium Chloride, Disodium EDTA), Lemon Juice, Sesame Tahini Paste, Olive Oil, Garlic, Cumin, Salt","Calories: 50 kcal, Protein (g): 2 g, Total Carbohydrates (g): 7 g, Sugar (g): 1 g, Total Fat (g): 2 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 2 g, Sodium (mg): 120 mg, Potassium (mg): 80 mg, Calcium (mg): 20 mg, Iron (mg): 0.9 mg, Trans Fat (g): - g, Vitamin D (IU): 0 IU, Vitamin C (mg): 1 mg, Calories From Fat: 20 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 0+ g","Vegetarian, Vegan, Garlic, Sulphites, Sesame, Avoiding Gluten"
