Meal Period,Category,Item Name,Portion,Description,Calories,Ingredients,Nutrients,Filters
Breakfast,HOMESTYLE,Scrambled Eggs,1/2 cup,Scrambled Eggs,200,"Liquid Egg, Canola Oil","Calories: 200 kcal, Protein (g): 14 g, Total Carbohydrates (g): less than 1 gram g, Sugar (g): 0 g, Total Fat (g): 15 g, Saturated Fat (g): 4 g, Cholesterol (mg): 420 mg, Dietary Fiber (g): 0 g, Sodium (mg): 160 mg, Potassium (mg): 160 mg, Calcium (mg): 60 mg, Iron (mg): 2 mg, Trans Fat (g): 0 g, Vitamin D (IU): 90 IU, Vitamin C (mg): 0 mg, Calories From Fat: 140 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 5 g","Egg, Vegetarian, Avoiding Gluten, Good Source of Protein"
Breakfast,HOMESTYLE,Pepper and Onion Tofu Scramble,1/2 cup,"Vegan spin on scrambled eggs made with tofu, veggies, nutritional yeast, turmeric, and curry powder",120,"Tofu, Red Bell Peppers, Green Bell Peppers, Onions, Olive Oil, Nutritional Yeast, Salt, Turmeric, Garlic, Black Pepper, Curry Powder","Calories: 120 kcal, Protein (g): 8 g, Total Carbohydrates (g): 5 g, Sugar (g): 2 g, Total Fat (g): 8 g, Saturated Fat (g): 1 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 1 g, Sodium (mg): 90 mg, Potassium (mg): 200 mg, Calcium (mg): 270 mg, Iron (mg): 4.5 mg, Trans Fat (g): - g, Vitamin D (IU): 0 IU, Vitamin C (mg): 26 mg, Calories From Fat: 70 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 0+ g","Soy, Vegetarian, Onion, Vegan, Garlic, How Good Friendly, Celery, Avoiding Gluten, Good Source of Protein"
Breakfast,HOMESTYLE,Cinnamon French Toast,2 half,Lightly Egg Battered Toast Dusted with Cinnamon,210,"Liquid Egg, Texas Bread, Fat Free Milk, Pure Vanilla Extract (Vanilla Bean Extractives, Water, Alcohol), Cinnamon","Calories: 210 kcal, Protein (g): 12 g, Total Carbohydrates (g): 24 g, Sugar (g): 4 g, Total Fat (g): 7 g, Saturated Fat (g): 2 g, Cholesterol (mg): 210 mg, Dietary Fiber (g): 1 g, Sodium (mg): 310 mg, Potassium (mg): 170 mg, Calcium (mg): 130 mg, Iron (mg): 2.7 mg, Trans Fat (g): - g, Vitamin D (IU): 60 IU, Vitamin C (mg): 0 mg, Calories From Fat: 60 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 0+ g","Gluten, Milk, Wheat, Egg, Soy, Vegetarian, Alcohol, Good Source of Protein"
Breakfast,HOMESTYLE,Pork Sausage Patty,2 each,Pork Sausage Patty,360,Pork Sausage,"Calories: 360 kcal, Protein (g): 10 g, Total Carbohydrates (g): 2 g, Sugar (g): 0 g, Total Fat (g): 34 g, Saturated Fat (g): 12 g, Cholesterol (mg): 50 mg, Dietary Fiber (g): 0 g, Sodium (mg): 630 mg, Potassium (mg): - mg, Calcium (mg): 0 mg, Iron (mg): 0 mg, Trans Fat (g): 0 g, Vitamin D (IU): - IU, Vitamin C (mg): - mg, Calories From Fat: 300 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 10 g","Mustard*, Celery*, Pork, Avoiding Gluten"
Breakfast,HOMESTYLE,Roasted Potatoes,4 ounce,Roasted Red Bliss Potatoes,120,"Red Bliss Potatoes, Canola Oil, Salt, Oil, Black Pepper","Calories: 120 kcal, Protein (g): 3 g, Total Carbohydrates (g): 22 g, Sugar (g): 2 g, Total Fat (g): 3 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 2 g, Sodium (mg): 150 mg, Potassium (mg): 620 mg, Calcium (mg): 10 mg, Iron (mg): 0.8 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0+ IU, Vitamin C (mg): 14 mg, Calories From Fat: 25 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 0 g","Soy, Vegetarian, Vegan, How Good Friendly, Avoiding Gluten"
Breakfast,HOMESTYLE,Steamed Broccoli,1/2 cup,Freshly steamed seasoned broccoli,30,"Broccoli, Salt, Black Pepper","Calories: 30 kcal, Protein (g): 2 g, Total Carbohydrates (g): 6 g, Sugar (g): 1 g, Total Fat (g): 0 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 2 g, Sodium (mg): 260 mg, Potassium (mg): 270 mg, Calcium (mg): 40 mg, Iron (mg): 0.6 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): 74 mg, Calories From Fat: 0 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 0 g","Vegetarian, Vegan, How Good Friendly, Avoiding Gluten"
Breakfast,HOMESTYLE,Apple Cinnamon Oatmeal,1/2 cup,Hot Cereal with Fall fruit and seasoning,100,"Water, Oatmeal, Apples, Cinnamon, Salt, Sugar","Calories: 100 kcal, Protein (g): 3 g, Total Carbohydrates (g): 18 g, Sugar (g): 1 g, Total Fat (g): 1.5 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 3 g, Sodium (mg): 200 mg, Potassium (mg): 100 mg, Calcium (mg): 20 mg, Iron (mg): 1.1 mg, Trans Fat (g): - g, Vitamin D (IU): 0 IU, Vitamin C (mg): 0 mg, Calories From Fat: 15 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 0+ g","Gluten, Wheat, Vegetarian, Vegan, How Good Friendly"
Breakfast,HOMESTYLE,Meatless Vegetarian Sausage Patty,1 each,Meatless Vegetarian Sausage Patty,70,Meatless Sausage,"Calories: 70 kcal, Protein (g): 9 g, Total Carbohydrates (g): 4 g, Sugar (g): less than 1 gram g, Total Fat (g): 2.5 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): less than 1 gram g, Sodium (mg): 250 mg, Potassium (mg): 100 mg, Calcium (mg): 0 mg, Iron (mg): 1.6 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): 0 mg, Calories From Fat: 20 kcal, Vitamin A (RE): 0 RE, Saturated Fat + Trans Fat (g): 0 g","Gluten, Milk, Wheat, Egg, MSG*, Soy, Vegetarian, Onion, Mustard*, Celery*, Good Source of Protein"
Breakfast,BAKERY,Mini Chocolate Croissant,1 each,Mini Chocolate Croissant,160,Mini Chocolate Croissant,"Calories: 160 kcal, Protein (g): 3 g, Total Carbohydrates (g): 18 g, Sugar (g): 6 g, Total Fat (g): 9 g, Saturated Fat (g): 5 g, Cholesterol (mg): 25 mg, Dietary Fiber (g): 1 g, Sodium (mg): 160 mg, Potassium (mg): 60 mg, Calcium (mg): 10 mg, Iron (mg): 1 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): - mg, Calories From Fat: 80 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 5 g","Gluten, Milk, Wheat, Egg, Soy, Vegetarian"
Breakfast,BAKERY,Blueberry Coffee Muffin ,1 each,Baked Blueberries inside a Fluffy Coffe Cake Muffin,140,"White Cake Mix, Water, Blueberries, Brown Sugar (sugar, cane syrups), All Purpose Flour, Cinnamon","Calories: 140 kcal, Protein (g): 2 g, Total Carbohydrates (g): 27 g, Sugar (g): 17 g, Total Fat (g): 3 g, Saturated Fat (g): 1.5 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 0 g, Sodium (mg): 210 mg, Potassium (mg): 30 mg, Calcium (mg): 20 mg, Iron (mg): 0.6 mg, Trans Fat (g): - g, Vitamin D (IU): 0 IU, Vitamin C (mg): 0 mg, Calories From Fat: 25 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 0+ g","Gluten, Milk, Wheat, Egg, MSG*, Soy, Vegetarian, How Good Friendly"
Breakfast,BAKERY,Lemon Poppy Seed Quick Bread,1 slice,Fresh Baked Lemon Poppy Seed Quick Bread,230,"Muffin Mix, Lemon Juice, Water, Poppy Seeds, Pure Vanilla Extract (Vanilla Bean Extractives, Water, Alcohol), Lemon, Lemon Extract (Alcohol, Water, and Oil of Lemon), Oil","Calories: 230 kcal, Protein (g): 2 g, Total Carbohydrates (g): 40 g, Sugar (g): 20+ g, Total Fat (g): 7 g, Saturated Fat (g): 3+ g, Cholesterol (mg): 0 mg, Dietary Fiber (g): less than 1 gram g, Sodium (mg): 340 mg, Potassium (mg): 70 mg, Calcium (mg): 50 mg, Iron (mg): 1.3 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0+ IU, Vitamin C (mg): 3 mg, Calories From Fat: 60 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 5+ g","Gluten, Milk, Wheat, Soy, Vegetarian, Egg*, Sulphites, Alcohol"
