Meal Period,Category,Item Name,Portion,Description,Calories,Ingredients,Nutrients,Filters
Dinner,HOMESTYLE,Jamaican Jerk Chicken Rotisserie,4 oz meat,Rotisserie Jerk Chicken,220,"Chicken, Soy Sauce, White Vinegar, Orange Juice, Lime, Salt, Sugar, Garlic, Onion, Onion, Black Pepper, Ground Allspice, Thyme, Cayenne Pepper, Cinnamon, Nutmeg, Canola Oil, Sage","Calories: 220 kcal, Protein (g): 24 g, Total Carbohydrates (g): 2 g, Sugar (g): 1+ g, Total Fat (g): 12 g, Saturated Fat (g): 3.5 g, Cholesterol (mg): 80 mg, Dietary Fiber (g): 0 g, Sodium (mg): 340 mg, Potassium (mg): 250 mg, Calcium (mg): 20 mg, Iron (mg): 1.3 mg, Trans Fat (g): - g, Vitamin D (IU): 0 IU, Vitamin C (mg): 1+ mg, Calories From Fat: 110 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 5+ g","Orange, Soy, Onion, Garlic, Poultry, Sulphites, Good Source of Protein"
Dinner,HOMESTYLE,"Caribbean Beans and Rice	",1/2 cup,"Red Beans, Jalapeno, Rice, Spices",280,"Water, Kidney Beans (kidney beans, water, sugar, dextrose, salt, calcium chloride, disodium EDTA), Basmati Rice, Onions, Red Bell Peppers, Canola Oil, Jalapeno, Brown Sugar (sugar, cane syrups), Ginger, Salt, Garlic, Ground Allspice, Nutmeg, Thyme","Calories: 280 kcal, Protein (g): 6 g, Total Carbohydrates (g): 49 g, Sugar (g): 4+ g, Total Fat (g): 6 g, Saturated Fat (g): 0.5 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 4 g, Sodium (mg): 440 mg, Potassium (mg): 250 mg, Calcium (mg): 40 mg, Iron (mg): 2.8 mg, Trans Fat (g): - g, Vitamin D (IU): 0 IU, Vitamin C (mg): 20 mg, Calories From Fat: 60 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 0+ g","Vegetarian, Onion, Vegan, Garlic, How Good Friendly, Avoiding Gluten"
Dinner,HOMESTYLE,Braised Cabbage,1/2 cup,Lightly seasoned,60,"Cabbage, Water, Onions, Canola Oil, Vegetable Base, Parsley, Black Pepper, Bay Leaf, Thyme","Calories: 60 kcal, Protein (g): 2 g, Total Carbohydrates (g): 9 g, Sugar (g): 4+ g, Total Fat (g): 2.5 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 3 g, Sodium (mg): 40 mg, Potassium (mg): 230 mg, Calcium (mg): 50 mg, Iron (mg): 0.7 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): 43 mg, Calories From Fat: 20 kcal, Vitamin A (RE): 5+ RE, Saturated Fat + Trans Fat (g): 0 g","Vegetarian, Onion, Tomato, Vegan, Garlic, Celery, Avoiding Gluten"
Dinner,HALAL,Jamaican Jerk Chicken Rotisserie,4 oz meat,Rotisserie Jerk Chicken,220,"Chicken, Soy Sauce, White Vinegar, Orange Juice, Lime, Salt, Sugar, Garlic, Onion, Onion, Black Pepper, Ground Allspice, Thyme, Cayenne Pepper, Cinnamon, Nutmeg, Canola Oil, Sage","Calories: 220 kcal, Protein (g): 24 g, Total Carbohydrates (g): 2 g, Sugar (g): 1+ g, Total Fat (g): 12 g, Saturated Fat (g): 3.5 g, Cholesterol (mg): 80 mg, Dietary Fiber (g): 0 g, Sodium (mg): 340 mg, Potassium (mg): 250 mg, Calcium (mg): 20 mg, Iron (mg): 1.3 mg, Trans Fat (g): - g, Vitamin D (IU): 0 IU, Vitamin C (mg): 1+ mg, Calories From Fat: 110 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 5+ g","Orange, Soy, Onion, Garlic, Poultry, Sulphites, Good Source of Protein"
Dinner,HALAL,"Caribbean Beans and Rice	",1/2 cup,"Red Beans, Jalapeno, Rice, Spices",280,"Water, Kidney Beans (kidney beans, water, sugar, dextrose, salt, calcium chloride, disodium EDTA), Basmati Rice, Onions, Red Bell Peppers, Canola Oil, Jalapeno, Brown Sugar (sugar, cane syrups), Ginger, Salt, Garlic, Ground Allspice, Nutmeg, Thyme","Calories: 280 kcal, Protein (g): 6 g, Total Carbohydrates (g): 49 g, Sugar (g): 4+ g, Total Fat (g): 6 g, Saturated Fat (g): 0.5 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 4 g, Sodium (mg): 440 mg, Potassium (mg): 250 mg, Calcium (mg): 40 mg, Iron (mg): 2.8 mg, Trans Fat (g): - g, Vitamin D (IU): 0 IU, Vitamin C (mg): 20 mg, Calories From Fat: 60 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 0+ g","Vegetarian, Onion, Vegan, Garlic, How Good Friendly, Avoiding Gluten"
Dinner,HALAL,Braised Cabbage,1/2 cup,Lightly seasoned,60,"Cabbage, Water, Onions, Canola Oil, Vegetable Base, Parsley, Black Pepper, Bay Leaf, Thyme","Calories: 60 kcal, Protein (g): 2 g, Total Carbohydrates (g): 9 g, Sugar (g): 4+ g, Total Fat (g): 2.5 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 3 g, Sodium (mg): 40 mg, Potassium (mg): 230 mg, Calcium (mg): 50 mg, Iron (mg): 0.7 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): 43 mg, Calories From Fat: 20 kcal, Vitamin A (RE): 5+ RE, Saturated Fat + Trans Fat (g): 0 g","Vegetarian, Onion, Tomato, Vegan, Garlic, Celery, Avoiding Gluten"
Dinner,DELICIOUS WITHOUT,Three Bean Chili,1 ladle-8oz,A Hearty Meatless Three Bean Chili,200,"Water, Bell Peppers, Green Bell Peppers, Tomatoes, Navy Beans, Kidney Beans, Black Beans, Onions, Canola Oil, Green Onions, Cilantro, Garlic, Chili Powder (Chili Pepper, Salt, Cumin, Oregano, Silicon Dioxide, Garlic), Salt, Oregano, Red Pepper, Bay Leaf","Calories: 200 kcal, Protein (g): 10 g, Total Carbohydrates (g): 32 g, Sugar (g): 4+ g, Total Fat (g): 4.5 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 11 g, Sodium (mg): 310 mg, Potassium (mg): 670 mg, Calcium (mg): 60 mg, Iron (mg): 3.2 mg, Trans Fat (g): - g, Vitamin D (IU): 0 IU, Vitamin C (mg): 81 mg, Calories From Fat: 40 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 0+ g","Vegetarian, Onion, Tomato, Vegan, Garlic, Avoiding Gluten, Good Source of Protein"
Dinner,DELICIOUS WITHOUT,Baked Potatoes,1 each,Fluffy Idaho potato,230,"Potatoes, Canola Oil, Salt","Calories: 230 kcal, Protein (g): 4 g, Total Carbohydrates (g): 49 g, Sugar (g): 4 g, Total Fat (g): 2.5 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 3 g, Sodium (mg): 290 mg, Potassium (mg): 890 mg, Calcium (mg): 10 mg, Iron (mg): 0.8 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): 29 mg, Calories From Fat: 20 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 0 g","Vegetarian, Vegan, How Good Friendly, Avoiding Gluten"
Dinner,DELICIOUS WITHOUT,Herb Roasted Mushrooms,1/2 cup,Garlic and thyme roasted button mushrooms,70,"Mushrooms, Olive Oil, Garlic, Thyme, Salt, Black Pepper","Calories: 70 kcal, Protein (g): 4 g, Total Carbohydrates (g): 4 g, Sugar (g): 2+ g, Total Fat (g): 5 g, Saturated Fat (g): 0.5 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 1 g, Sodium (mg): 70 mg, Potassium (mg): 370 mg, Calcium (mg): 10 mg, Iron (mg): 0.7 mg, Trans Fat (g): - g, Vitamin D (IU): 10 IU, Vitamin C (mg): 3 mg, Calories From Fat: 45 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 0+ g","Vegetarian, Vegan, Garlic, How Good Friendly, Mushroom, Avoiding Gluten"
Dinner,GRILL STATION,Buffalo Wings,3 each,Buffalo Wings,350,"Chicken, Buffalo Wing Sauce, Blue Cheese Dressing, Celery","Calories: 350 kcal, Protein (g): 18 g, Total Carbohydrates (g): 2 g, Sugar (g): 1 g, Total Fat (g): 27 g, Saturated Fat (g): 7 g, Cholesterol (mg): 120 mg, Dietary Fiber (g): 0 g, Sodium (mg): 990 mg, Potassium (mg): 230 mg, Calcium (mg): 20 mg, Iron (mg): 0.8 mg, Trans Fat (g): 0 g, Vitamin D (IU): 5+ IU, Vitamin C (mg): 0+ mg, Calories From Fat: 250 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 5 g","Milk, Egg, Onion, Garlic, Poultry, MSG, Mustard, Celery, Avoiding Gluten, Good Source of Protein"
