Meal Period,Category,Item Name,Portion,Description,Calories,Ingredients,Nutrients,Filters
Lunch,HOMESTYLE,Honey Stung Fried Chicken,6 ounce,Classic Fried Chicken with a hint of sweet,260,Breaded Honey Chicken,"Calories: 260 kcal, Protein (g): 22 g, Total Carbohydrates (g): 16 g, Sugar (g): 2 g, Total Fat (g): 12 g, Saturated Fat (g): 4 g, Cholesterol (mg): 90 mg, Dietary Fiber (g): 2 g, Sodium (mg): 910 mg, Potassium (mg): 280 mg, Calcium (mg): 0 mg, Iron (mg): 1 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): - mg, Calories From Fat: 110 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 5 g","Gluten, Wheat, Egg, Soy, Onion, Poultry, Good Source of Protein"
Lunch,HOMESTYLE,Mashed Potatoes,1/2 cup,whipped mashed potatoes,130,"Potatoes, Unsalted Butter, Whole Milk, Salt, White Pepper","Calories: 130 kcal, Protein (g): 2 g, Total Carbohydrates (g): 18 g, Sugar (g): 1+ g, Total Fat (g): 6 g, Saturated Fat (g): 3.5 g, Cholesterol (mg): 15 mg, Dietary Fiber (g): 2 g, Sodium (mg): 160 mg, Potassium (mg): 310 mg, Calcium (mg): 10 mg, Iron (mg): 0.3 mg, Trans Fat (g): - g, Vitamin D (IU): 0 IU, Vitamin C (mg): 7 mg, Calories From Fat: 50 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 5+ g","Milk, Vegetarian, Avoiding Gluten"
Lunch,HOMESTYLE,Green Beans and Roasted Red Pepper,1/2 cup,Lightly seasoned,60,"Green Beans, Red Peppers, Canola Oil, White Pepper, Salt","Calories: 60 kcal, Protein (g): 1 g, Total Carbohydrates (g): 7 g, Sugar (g): 3+ g, Total Fat (g): 3.5 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 2 g, Sodium (mg): 110 mg, Potassium (mg): 130 mg, Calcium (mg): 30 mg, Iron (mg): 0.6 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): 31 mg, Calories From Fat: 35 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 0 g","Vegetarian, Vegan, Avoiding Gluten"
Lunch,HALAL,Signature Fried Chicken,1 each,Lightly breaded with seasoned flour and fried crispy.,530,"Chicken, Water, All Purpose Flour, Baking Powder, Paprika (Paprika and Silicon Dioxide), White Pepper, Granulated Onion, Salt, Garlic, Sugar, Thyme","Calories: 530 kcal, Protein (g): 33 g, Total Carbohydrates (g): 51 g, Sugar (g): less than 1 gram+ g, Total Fat (g): 21 g, Saturated Fat (g): 4.5 g, Cholesterol (mg): 85 mg, Dietary Fiber (g): 3 g, Sodium (mg): 960 mg, Potassium (mg): 350 mg, Calcium (mg): 380 mg, Iron (mg): 5.6 mg, Trans Fat (g): - g, Vitamin D (IU): 0+ IU, Vitamin C (mg): 0 mg, Calories From Fat: 190 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 5+ g","Gluten, Wheat, Onion, Garlic, Poultry, Good Source of Protein"
Lunch,HALAL,Mashed Potatoes,1/2 cup,whipped mashed potatoes,130,"Potatoes, Unsalted Butter, Whole Milk, Salt, White Pepper","Calories: 130 kcal, Protein (g): 2 g, Total Carbohydrates (g): 18 g, Sugar (g): 1+ g, Total Fat (g): 6 g, Saturated Fat (g): 3.5 g, Cholesterol (mg): 15 mg, Dietary Fiber (g): 2 g, Sodium (mg): 160 mg, Potassium (mg): 310 mg, Calcium (mg): 10 mg, Iron (mg): 0.3 mg, Trans Fat (g): - g, Vitamin D (IU): 0 IU, Vitamin C (mg): 7 mg, Calories From Fat: 50 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 5+ g","Milk, Vegetarian, Avoiding Gluten"
Lunch,HALAL,Green Beans and Roasted Red Pepper,1/2 cup,Lightly seasoned,60,"Green Beans, Red Peppers, Canola Oil, White Pepper, Salt","Calories: 60 kcal, Protein (g): 1 g, Total Carbohydrates (g): 7 g, Sugar (g): 3+ g, Total Fat (g): 3.5 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 2 g, Sodium (mg): 110 mg, Potassium (mg): 130 mg, Calcium (mg): 30 mg, Iron (mg): 0.6 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): 31 mg, Calories From Fat: 35 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 0 g","Vegetarian, Vegan, Avoiding Gluten"
Lunch,DELICIOUS WITHOUT,Braised Citrus Pork,3 oz meat,Fresh pork marinated with latin flavors and citrus notes,180,"Pork, Water, Orange Juice, Lime, Cilantro, Paprika (Paprika and Silicon Dioxide), Black Pepper, Cumin, Salt","Calories: 180 kcal, Protein (g): 21 g, Total Carbohydrates (g): less than 1 gram g, Sugar (g): 0 g, Total Fat (g): 10 g, Saturated Fat (g): 4 g, Cholesterol (mg): 75 mg, Dietary Fiber (g): 0 g, Sodium (mg): 95 mg, Potassium (mg): 260 mg, Calcium (mg): 20 mg, Iron (mg): 1.6 mg, Trans Fat (g): - g, Vitamin D (IU): 35 IU, Vitamin C (mg): 1 mg, Calories From Fat: 90 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 5+ g","Orange, Pork, Avoiding Gluten, Good Source of Protein"
Lunch,DELICIOUS WITHOUT,Garlic Rice,1 cup,Garlic Rice,270,"Waters, Long Grain White Rice, Garlic, Canola Oil, Salt","Calories: 270 kcal, Protein (g): 5 g, Total Carbohydrates (g): 54 g, Sugar (g): 0 g, Total Fat (g): 3.5 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): less than 1 gram g, Sodium (mg): 720 mg, Potassium (mg): 80 mg, Calcium (mg): 20 mg, Iron (mg): 2.3 mg, Trans Fat (g): - g, Vitamin D (IU): 0 IU, Vitamin C (mg): 1 mg, Calories From Fat: 30 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 0+ g","Vegetarian, Vegan, Garlic, Avoiding Gluten"
Lunch,DELICIOUS WITHOUT,"Carrots,Squash,Broccoli & Mushroom",1/2 cup,"Carrot, Yellow Squash, Broccoli and Mushroom Medley",45,"Broccoli, Carrots, Squash, Mushrooms, Canola Oil, Salt, White Pepper","Calories: 45 kcal, Protein (g): 2 g, Total Carbohydrates (g): 5 g, Sugar (g): 3+ g, Total Fat (g): 2.5 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 2 g, Sodium (mg): 120 mg, Potassium (mg): 260 mg, Calcium (mg): 20 mg, Iron (mg): 0.5 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): 27 mg, Calories From Fat: 20 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 0 g","Vegetarian, Vegan, Mushroom, Avoiding Gluten"
Lunch,GRILL STATION,Grilled Cheese Sandwich,1/2 sandwich,Classic grilled cheese on Texas toast,200,"Texas Bread, American Cheese, Butter","Calories: 200 kcal, Protein (g): 8 g, Total Carbohydrates (g): 23 g, Sugar (g): 3 g, Total Fat (g): 9 g, Saturated Fat (g): 4.5 g, Cholesterol (mg): 20 mg, Dietary Fiber (g): 1 g, Sodium (mg): 560 mg, Potassium (mg): 80 mg, Calcium (mg): 270 mg, Iron (mg): 1.8 mg, Trans Fat (g): 0 g, Vitamin D (IU): 60 IU, Vitamin C (mg): 0 mg, Calories From Fat: 80 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 5 g","Beef*, Gluten, Milk, Pork*, Wheat, Soy, Good Source of Protein"
Lunch,GRILL STATION,Pastrami and Swiss on Rye,1/2 sandwich,Pastrami and Swiss on Rye,290,"Marble Rye Bread, Beef Pastrami, Saurekraut (Cabbage, water, salt), Swiss Cheese, Light Mayonnaise, Ketchup, Horseradish, Onions","Calories: 290 kcal, Protein (g): 20 g, Total Carbohydrates (g): 25 g, Sugar (g): less than 1 gram g, Total Fat (g): 12 g, Saturated Fat (g): 5 g, Cholesterol (mg): 50 mg, Dietary Fiber (g): 2 g, Sodium (mg): 960 mg, Potassium (mg): 140 mg, Calcium (mg): 200 mg, Iron (mg): 1.2 mg, Trans Fat (g): - g, Vitamin D (IU): 0 IU, Vitamin C (mg): 3+ mg, Calories From Fat: 110 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 5+ g","Gluten, Milk, Wheat, Egg, Onion, Tomato, Beef, Sesame*, Sulphites, Mustard, Good Source of Protein"
