Meal Period,Category,Item Name,Portion,Description,Calories,Ingredients,Nutrients,Filters
Every Day,Frappuccino® Blended Beverages,Café Vanilla Frappuccino®,Tall (12oz),"Coffee with vanilla bean powder, blended with whole milk and ice. Topped with sweetened whipped cream.",300,N/A,"Calories: 300.0 , Fat Calories: 90.0 , Total Fat: 11.0 , Saturated Fat: 6.0 , Trans Fat: 0.0 , Cholesterol: 35.0 , Sodium: 160.0 , Potassium: None , Total Carbohydrates: 50.0 , Dietary Fiber: 0.0 , Sugars: 48.0 , Protein: 3.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 100.0 , Iron: 0.0 ",
Every Day,Frappuccino® Blended Beverages,Café Vanilla Frappuccino® Blended Beverage (Grande),16 oz,"We take Frappuccino® roast coffee and vanilla bean powder, combine them with milk and ice, topped with whipped cream. Tastes like happiness.",400,N/A,"Calories: 400.0 , Fat Calories: 130.0 , Total Fat: 14.0 , Saturated Fat: 9.0 , Trans Fat: 0.0 , Cholesterol: 45.0 , Sodium: None , Potassium: None , Total Carbohydrates: 65.0 , Dietary Fiber: 0.0 , Sugars: 64.0 , Protein: 4.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 150.0 , Iron: 0.0 ",
Every Day,Frappuccino® Blended Beverages,Café Vanilla Frappuccino®,Venti (24oz),"Coffee with vanilla bean powder, blended with whole milk and ice. Topped with sweetened whipped cream.",530,N/A,"Calories: 530.0 , Fat Calories: 140.0 , Total Fat: 16.0 , Saturated Fat: 10.0 , Trans Fat: 0.0 , Cholesterol: 55.0 , Sodium: 300.0 , Potassium: None , Total Carbohydrates: 91.0 , Dietary Fiber: 0.0 , Sugars: 88.0 , Protein: 6.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 200.0 , Iron: 0.0 ",
Every Day,Frappuccino® Blended Beverages,Caffe Vanilla Frappuccino® Light,Tall (12oz),Coffee flavored with vanilla and blended with milk and ice-and fewer calories.,,N/A,"Calories: None , Fat Calories: None , Total Fat: None , Saturated Fat: None , Trans Fat: None , Cholesterol: None , Sodium: None , Potassium: None , Total Carbohydrates: None , Dietary Fiber: None , Sugars: None , Protein: None , Vitamin A: None , Vitamin C: 0.0 , Calcium: 0.0 , Iron: 0.0 ",
Every Day,Frappuccino® Blended Beverages,Caffe Vanilla Frappuccino® Light,Grande (16oz),Coffee flavored with vanilla and blended with milk and ice-and fewer calories.,180,N/A,"Calories: 180.0 , Fat Calories: 0.0 , Total Fat: 0.0 , Saturated Fat: 0.0 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: 200.0 , Potassium: None , Total Carbohydrates: 40.0 , Dietary Fiber: 0.0 , Sugars: 39.0 , Protein: 3.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 100.0 , Iron: 0.0 ",
Every Day,Frappuccino® Blended Beverages,Caffe Vanilla Frappuccino® Light,Venti (24oz),Coffee flavored with vanilla and blended with milk and ice-and fewer calories.,,N/A,"Calories: None , Fat Calories: None , Total Fat: None , Saturated Fat: None , Trans Fat: None , Cholesterol: None , Sodium: None , Potassium: None , Total Carbohydrates: None , Dietary Fiber: None , Sugars: None , Protein: None , Vitamin A: None , Vitamin C: 0.0 , Calcium: 0.0 , Iron: 0.0 ",
Every Day,Frappuccino® Blended Beverages,Tall Caramel Frappuccino®,Tall (12oz),"Coffee blended with caramel sauce, whole milk and ice. Topped with whipped cream and caramel sauce.",300,N/A,"Calories: 300.0 , Fat Calories: 100.0 , Total Fat: 11.0 , Saturated Fat: 7.0 , Trans Fat: 0.0 , Cholesterol: 40.0 , Sodium: None , Potassium: None , Total Carbohydrates: 47.0 , Dietary Fiber: None , Sugars: None , Protein: 3.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 0.0 , Iron: 0.0 ",
Every Day,Frappuccino® Blended Beverages,Caramel Frappuccino® Blended Beverage (Grande),16 oz,"Caramel syrup meets coffee, milk and ice for a rendezvous in the blender, while whipped cream and buttery caramel sauce layer the love on top. To change things up, try it affogato-style with a hot espresso shot poured right over the top.",380,N/A,"Calories: 380.0 , Fat Calories: None , Total Fat: 16.0 , Saturated Fat: 9.0 , Trans Fat: 0.0 , Cholesterol: 49.0 , Sodium: None , Potassium: None , Total Carbohydrates: 54.0 , Dietary Fiber: 0.0 , Sugars: 54.0 , Protein: 4.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 0.0 , Iron: 0.0 ",
Every Day,Frappuccino® Blended Beverages,Venti Caramel Frappuccino®,Venti (24oz),"Coffee blended with caramel sauce, whole milk and ice. Topped with whipped cream and caramel sauce.",510,N/A,"Calories: 510.0 , Fat Calories: 150.0 , Total Fat: 17.0 , Saturated Fat: 10.0 , Trans Fat: 0.0 , Cholesterol: 60.0 , Sodium: None , Potassium: None , Total Carbohydrates: 85.0 , Dietary Fiber: None , Sugars: 84.0 , Protein: 6.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 0.0 , Iron: 0.0 ",
Every Day,Frappuccino® Blended Beverages,Caramel Frappuccino® Light,Tall (12oz),"Coffee blended with caramel sauce, milk and ice-and fewer calories",,N/A,"Calories: None , Fat Calories: None , Total Fat: None , Saturated Fat: None , Trans Fat: None , Cholesterol: None , Sodium: None , Potassium: None , Total Carbohydrates: None , Dietary Fiber: None , Sugars: None , Protein: None , Vitamin A: None , Vitamin C: 0.0 , Calcium: 0.0 , Iron: 0.0 ",
